Date,Open,High,Low,Close,Volume
2004-08-19,2.4805075283482223,2.581215643676131,2.380294273451942,2.488940715789795,893181924
2004-08-20,2.5055603107366164,2.705737258717169,2.492909466416938,2.686636686325073,456686856
2004-08-23,2.7471619919110366,2.814879407893492,2.704992984934574,2.713674783706665,365122512
2004-08-24,2.75931653581078,2.7682464752130467,2.569061585563159,2.6013076305389404,304946748
2004-08-25,2.603540765849764,2.678948141810194,2.576751421499029,2.629338026046753,183772044
2004-08-26,2.603291925602444,2.677707217635574,2.5960987246582845,2.6767148971557617,141897960
2004-08-27,2.681428201412324,2.694326950083828,2.6216483940352813,2.6330580711364746,124235640
2004-08-30,2.6114788848471955,2.616687682137165,2.5303661823272705,2.5303661823272705,103935960
2004-08-31,2.537558694918769,2.5725335578651247,2.5340864006589863,2.539295196533203,98357544
2004-09-01,2.5474807632239083,2.554178394299349,2.4723212948092472,2.486708641052246,182765052
2004-09-02,2.4604147283007536,2.5392950983972224,2.4542136122689384,2.517962455749512,302373324
2004-09-03,2.504071667602333,2.523667809036223,2.4636391615070834,2.48075532913208,103048848
2004-09-07,2.505560599367364,2.530117873298317,2.47083363541321,2.5196993350982666,116950932
2004-09-08,2.4988630219379235,2.55566634162594,2.492909807731657,2.537559032440185,99712188
2004-09-09,2.54326439420142,2.547728773217784,2.505313036908688,2.537806749343872,81234684
2004-09-10,2.5201957446791363,2.64322883046959,2.512753695666572,2.612718343734741,173977848
2004-09-13,2.644964368659599,2.689118020805163,2.6407478929184083,2.666545152664185,156882960
2004-09-14,2.6653051595235286,2.7781683183535546,2.648933171757235,2.765517473220825,216579204
2004-09-15,2.742448684953676,2.8334833816365315,2.7335187472736,2.778167963027954,214261524
2004-09-16,2.7866014874428915,2.872427399004524,2.7694862638214994,2.8270339965820312,185326488
2004-09-17,2.8381960931706742,2.914347887039185,2.8166164903165263,2.914347887039185,189450360
2004-09-20,2.9009533756517034,3.01629650354426,2.896488051947655,2.960733413696289,212575212
2004-09-21,2.9718955975639783,2.9870273622396635,2.9148443782310625,2.923029899597168,144575280
2004-09-22,2.912115355309907,2.9684230984574205,2.8974801063638447,2.9364237785339355,151624224
2004-09-23,2.947834652832311,3.0418460817447985,2.902688918796962,2.9969491958618164,170713116
2004-09-24,2.99992608440265,3.078310190649093,2.970655818764582,2.9723923206329346,182469348
2004-09-27,2.965694589271973,2.998437148579839,2.9220376859794475,2.9334475994110107,141322536
2004-09-28,3.0088556727164284,3.160165986399802,2.981817481566861,3.1467716693878174,338581080
2004-09-29,3.142803126068104,3.3491812146353035,3.1311446007668446,3.2514488697052,610329060
2004-09-30,3.2221789870649933,3.28171112195787,3.199854022914859,3.2147369384765625,275160564
2004-10-01,3.244503294046532,3.329832694970545,3.197374096636401,3.288656711578369,302497200
2004-10-04,3.35488598436232,3.395069641279446,3.324623404040511,3.350172758102417,260455284
2004-10-05,3.3402511266546395,3.436246965499384,3.280222473653964,3.4322781562805176,299464236
2004-10-06,3.411937806932932,3.4342627737380336,3.3734896993788133,3.4002790451049805,267628104
2004-10-07,3.396309983496493,3.46973389843732,3.3871323781538334,3.4441845417022705,282301416
2004-10-08,3.4409593837800165,3.464772240039661,3.398791315880436,3.41640305519104,221390388
2004-10-11,3.398294398705991,3.444432455342151,3.3201593836752306,3.3551342487335205,209442348
2004-10-12,3.33479373866449,3.4134266931111656,3.3089964767583075,3.408216714859009,233310456
2004-10-13,3.5550633478179745,3.5607677134936595,3.4746950791024376,3.495034694671631,395324280
2004-10-14,3.4977637114631754,3.531746258347708,3.436990637342205,3.5223209857940674,208842948
2004-10-15,3.594999190179741,3.609137688430384,3.521079471552419,3.574658393859864,263895840
2004-10-18,3.5520871466790966,3.7009172684758105,3.502724693877723,3.699925184249878,280726992
2004-10-19,3.7331631837234776,3.780293087899399,3.655026987527331,3.6696622371673584,362197440
2004-10-20,3.6718945630846167,3.6957074196955166,3.4627878864297696,3.4848649501800537,454453092
2004-10-21,3.5818527442683044,3.723985215275879,3.512894155738796,3.705381393432617,582996420
2004-10-22,4.230257414442483,4.469130398134185,4.070016201804847,4.277138710021973,1474200324
2004-10-25,4.375614187769379,4.822850340931522,4.280115102212012,4.648470878601074,1309257432
2004-10-26,4.62217801356204,4.778449962691242,4.464914452764056,4.509563446044922,891391716
2004-10-27,4.532383971488681,4.701058146878428,4.508818779944985,4.61299991607666,533725740
2004-10-28,4.6306107758381385,4.821858022128373,4.603821670029428,4.7948198318481445,593278128
2004-10-29,4.933480981176024,4.959774756600075,4.727847313257655,4.72883939743042,845653500
2004-11-01,4.801022033780594,4.903218984938015,4.744466623002631,4.86253833770752,488507004
2004-11-02,4.9307510394487135,4.942409798813451,4.795811546153463,4.83376407623291,453398148
2004-11-03,4.915868332158325,5.000702155921628,4.731567562546491,4.754388332366943,554992452
2004-11-04,4.674269138810711,4.722886945305034,4.548010685658118,4.581497669219971,575807616
2004-11-05,4.514027200024818,4.521964819152569,4.18089533587813,4.20073938369751,792530676
2004-11-08,4.239932175054329,4.351802328439548,4.201980104166485,4.280116081237793,447224328
2004-11-09,4.318563044679679,4.345848430646056,4.099534594069191,4.184616088867188,442125432
2004-11-10,4.233481807769712,4.279371019168684,4.125827674582644,4.163780212402344,425334240
2004-11-11,4.195281542231153,4.557932030863564,4.156585532635108,4.539824485778809,598820580
2004-11-12,4.594643161910018,4.708003071496,4.400419178995262,4.514523506164551,669174156
2004-11-15,4.476075566609066,4.671291157906131,4.433906556253974,4.5857133865356445,475583940
2004-11-16,4.402900247558989,4.451765704722566,4.237450025136758,4.279867172241211,835859304
2004-11-17,4.192554097434036,4.402901004291216,4.192057346350188,4.278875350952148,724590684
2004-11-18,4.224055520211552,4.32650012902258,4.110943763175837,4.155841827392578,664518816
2004-11-19,4.1945382964029,4.2163669854831305,4.130541064486192,4.201979637145996,350421228
2004-11-22,4.079690742252295,4.20446033492796,4.001306638779222,4.095317840576172,494233272
2004-11-23,4.166507449504174,4.237450206699433,4.130044695774348,4.155345439910889,496035468
2004-11-24,4.336423069844365,4.395707543220576,4.279123237455682,4.334934234619141,610628760
2004-11-26,4.360731117897539,4.46565713148621,4.348824690295761,4.449781894683838,258944796
2004-11-29,4.473843226831126,4.538087644399832,4.403148135648459,4.490958213806152,426237336
2004-11-30,4.482524308448989,4.539328331413645,4.471114159606059,4.514026641845703,307692000
2004-12-01,4.513281854473802,4.5269252548927,4.453750195901023,4.463920593261719,314249436
2004-12-02,4.462432556805078,4.502368790598737,4.428945579300128,4.450029850006104,250185564
2004-12-03,4.463672916280074,4.491206916760156,4.405380996046463,4.4748358726501465,234533232
2004-12-06,4.443332666987482,4.482276341651808,4.366188789959905,4.372886657714844,249909840
2004-12-07,4.365692609401483,4.370653502883334,4.2305049534983405,4.252333641052246,274561164
2004-12-08,4.225543659530097,4.308144229700203,4.185359291785036,4.216366291046143,301370328
2004-12-09,4.223064339022921,4.303680753518991,4.17891115550835,4.301943778991699,305853840
2004-12-10,4.301943275381478,4.337910696362185,4.248861340041507,4.257791042327881,172515312
2004-12-13,4.27068929600967,4.295742372325291,4.203218600293501,4.228024482727051,192551256
2004-12-14,4.241667367393928,4.435643214894434,4.206940168294378,4.432418823242188,443092464
2004-12-15,4.415055120720406,4.482029077826734,4.382064420607338,4.459456443786621,458381160
2004-12-16,4.389257713020812,4.477068276737888,4.36445277077878,4.3773512840271,342569088
2004-12-17,4.384544107585545,4.47731555722178,4.379335547536476,4.466897964477539,295152552
