Date,Close,High,Low,Open,Volume
2014-09-30,18.43865394592285,18.624715747817035,18.43865394592285,18.624715747817035,6800
2014-10-01,18.10002517700196,18.206080313535733,18.10002517700196,18.206080313535733,8600
2014-10-02,18.21537971496582,18.21537971496582,17.982803364277075,17.982803364277075,15600
2014-10-03,18.457263946533203,18.457263946533203,18.42563318585384,18.42935413868367,8500
2014-10-06,18.336320877075195,18.540989226316203,18.336320877075195,18.540989226316203,5300
2014-10-07,18.140958786010746,18.206079892617897,18.140958786010746,18.206079892617897,4800
2014-10-08,18.19677734375,18.19677734375,17.85256525966199,18.001414016200126,4100
2014-10-09,17.861865997314453,18.168866735967505,17.759531826291138,18.168866735967505,6800
2014-10-10,17.368804931640625,17.78744314474428,17.368804931640625,17.78744314474428,4300
2014-10-13,17.44322967529297,17.44322967529297,17.247866354649886,17.359502030898195,3900
2014-10-14,17.363222122192383,17.368804438053004,17.35019790146226,17.35019790146226,9100
2014-10-15,17.130645751953125,17.294380080133884,17.130645751953125,17.294380080133884,2900
2014-10-16,17.694412231445312,17.694412231445312,17.331591855326568,17.39671473523704,3800
2014-10-17,17.723251342773438,17.880471786151645,17.63859213355018,17.880471786151645,6300
2014-10-20,17.815349578857422,17.815349578857422,17.750228479194313,17.759531746920025,8000
2014-10-21,18.16886711120605,18.178170379165486,17.98745604762256,17.992108568810735,15100
2014-10-22,17.954896926879883,18.22468639593829,17.954896926879883,18.22468639593829,6900
2014-10-23,18.09444236755371,18.17817000303924,18.02001799983512,18.02001799983512,3900
2014-10-24,18.04792594909668,18.04792594909668,18.02931941364489,18.04792594909668,2800
2014-10-27,18.03862571716309,18.03862571716309,17.926990034498537,18.03862571716309,7400
2014-10-28,18.529823303222656,18.529823303222656,18.13165303839185,18.140956305837687,20300
2014-10-29,18.2898063659668,18.782868929944986,18.17817069733356,18.782868929944986,12300
2014-10-30,18.17817115783692,18.17817115783692,18.17817115783692,18.17817115783692,2600
2014-10-31,18.661928176879883,18.661928176879883,18.583782854128646,18.583782854128646,600
2014-11-03,18.58750343322754,18.70844414169988,18.58750343322754,18.634019772800333,4000
2014-11-04,18.47772789001465,18.58750397039522,18.457261764661315,18.58750397039522,1100
2014-11-05,18.34562492370605,18.429352565691094,18.34562492370605,18.429352565691094,700
2014-11-06,18.485170364379883,18.485170364379883,18.3270183644038,18.3270183644038,1000
2014-11-07,18.356788635253903,18.49447274338854,18.356788635253903,18.49447274338854,900
2014-11-10,18.54098892211914,18.55959545800249,18.485171088886,18.513079118294108,3400
2014-11-11,18.68053436279297,18.74565546386454,18.569828490971297,18.74565546386454,1400
2014-11-12,18.647974014282227,18.66192802911533,18.578200391282827,18.65262476108761,1400
2014-11-13,18.684255599975582,18.744725955214204,18.684255599975582,18.744725955214204,1800
2014-11-14,18.80147361755371,18.80147361755371,18.73635251537189,18.73635251537189,400
2014-11-17,18.81077766418457,18.81077766418457,18.801474395713985,18.801474395713985,700
2014-11-18,18.89450454711914,18.96892891747759,18.89450454711914,18.96892891747759,400
2014-11-19,18.72705078125,18.782870394335507,18.717749286819515,18.76426385664034,1000
2014-11-20,18.71774673461914,18.71774673461914,18.71774673461914,18.71774673461914,300
2014-11-21,18.89264488220215,18.94102081146152,18.89264488220215,18.94102081146152,500
2014-11-24,19.041492462158203,19.04335205100664,18.950322924913355,18.950322924913355,500
2014-11-25,19.034048080444336,19.034048080444336,19.034048080444336,19.034048080444336,300
2014-11-26,19.034048080444336,19.034048080444336,19.034048080444336,19.034048080444336,300
