Date,Open,High,Low,Close,Volume
2012-05-18,41.68395174608055,44.60827259469764,37.66920796885579,37.8972053527832,573576400
2012-05-21,36.21199373878434,36.34086310702784,32.71272470058605,33.73375701904297,168192700
2012-05-22,32.32612601702567,33.29759452686994,30.670663523793337,30.73014068603516,101786600
2012-05-23,31.09692248627141,32.21708491444588,31.087009310177564,31.72143745422364,73600000
2012-05-24,32.66316435542276,32.92089933908701,31.49343619108365,32.74246597290039,50237200
2012-05-25,32.61360290482297,32.663166892282185,30.839184170758223,31.632219314575195,37149800
2012-05-29,31.205961267242262,31.41413416788241,28.40059693148421,28.588943481445312,78063400
2012-05-30,28.450163577831507,29.292762706291445,27.617475734234347,27.9446029663086,57267900
2012-05-31,28.30146458037976,29.411715541101785,26.596438277542227,29.34232521057129,111639200
2012-06-01,28.638510065276986,28.89624697524988,27.15156766287224,27.478694915771484,41855500
2012-06-04,26.963224053576344,27.409305657503364,26.2098396463218,26.665834426879883,35230300
2012-06-05,26.467574886871084,27.51834696339535,25.52584396487854,25.644800186157227,42473400
2012-06-06,25.84305641830239,26.93348113066324,25.2978450074944,26.57661437988281,61489200
2012-06-07,26.76496288209591,27.1119164827906,25.922361820621667,26.080968856811523,26159500
2012-06-08,26.318882286985705,27.51835025632664,26.209841119405777,26.86409568786621,38034000
2012-06-11,26.94339585053732,27.82564771193513,26.606355431200964,26.77487564086914,28219600
2012-06-12,27.24078537943773,27.52826182890342,26.72531154016864,27.161481857299805,15816800
2012-06-13,27.41921431068136,27.85538455676576,26.864089746138824,27.032609939575195,17102800
2012-06-14,27.40929984741576,28.07346741494892,27.141649807347605,28.04372978210449,16855000
2012-06-15,28.2618178710145,29.83797691579072,28.103210838020853,29.748760223388672,43563800
2012-06-18,29.69919355856881,31.800741417028814,29.153982133412523,31.13657188415528,42978900
2012-06-19,31.2654412695892,31.89986938464277,30.432753423208908,31.632219314575195,30849000
2012-06-20,31.642134734320937,31.65204791066482,30.87883717254738,31.324920654296875,15553600
2012-06-21,31.39431165875911,32.217086405169006,31.235704615408658,31.56283187866211,21875300
2012-06-22,32.127866656129584,33.15881423075548,31.780914963462138,32.76229476928711,74834000
2012-06-25,32.5739513866408,32.73255842117111,31.27535369164953,31.78091621398925,24352900
2012-06-26,32.4054321473346,33.1489033963864,32.21708745891133,32.81186294555664,24858700
2012-06-27,32.177433575341375,32.61360577899711,31.62230892574743,31.94943618774414,28568000
2012-06-28,31.68178292805236,31.909780292865264,30.63101090221229,31.087007522583008,17713300
2012-06-29,31.64213282010145,31.711523159565747,30.492230904206057,30.82927131652832,19526900
2012-07-02,30.97796301057837,31.453784068642104,30.284055882843496,30.50214195251465,14122000
2012-07-03,30.64092740519577,31.1663144205428,30.531884353337208,30.92840385437012,8763600
2012-07-05,31.047356783153845,31.354657680838425,30.749969061619737,31.1960506439209,10032100
2012-07-06,31.16631231100449,31.6223070592845,30.987878925766232,31.453786849975582,10945600
2012-07-09,31.82056898566948,32.593781681339905,31.711527817955385,31.88995933532715,17785200
2012-07-10,32.147694756171084,32.19725874617843,30.88874974623632,31.1960506439209,14269500
2012-07-11,31.205959975726365,31.28526348441552,30.284055505499456,30.70039939880371,13030300
2012-07-12,30.43275457590144,31.12665988033791,30.333624706483377,30.54179573059082,11300700
2012-07-13,30.769795463380994,30.7995331011352,30.29397246111853,30.452579498291016,8108300
2012-07-16,30.234493255615234,30.234493255615234,27.96442711673444,28.004079818725582,24672100
2012-07-17,28.23207478633737,28.341117816811533,26.91365280897017,27.8454704284668,30438600
2012-07-18,28.06356077019356,29.035031301953595,27.904953722303176,28.856597900390625,16841800
2012-07-19,29.153981706040213,29.24319839477539,28.38077103391697,28.74755096435547,13685100
2012-07-20,28.74755027398904,29.21345816672692,28.46998703895134,28.509639739990234,11869100
2012-07-23,27.87521231874416,28.74755096435547,27.76616927901341,28.499727249145508,12390700
2012-07-24,28.56911720718216,29.193634020028146,27.855385597531605,28.20233917236328,11539800
2012-07-25,28.14286189813889,29.2332866776086,27.835561005357107,29.084592819213867,17230200
2012-07-26,27.508431208968474,27.984252267993497,26.49731004048169,26.61626625061035,64597400
2012-07-27,22.9881272997998,24.32637567881242,22.086049168995736,23.50359916687012,123102300
2012-07-30,23.79107784314212,23.83073054710495,22.82952246098332,22.94847679138184,29285900
2012-07-31,23.166558518200315,23.166558518200315,21.42187957809573,21.5210075378418,56179400
2012-08-01,21.31284012900912,21.39214364455703,20.658585653052626,20.6982364654541,44604400
2012-08-02,20.589193851878186,20.658584186714187,19.647463017188613,19.86554908752441,56374500
2012-08-03,20.182763531101056,21.96709348535876,19.726766921882845,20.906408309936523,80647000
2012-08-06,21.20379810685736,21.957182486203088,21.114581411227928,21.72918510437012,27778900
2012-08-07,22.006746824025228,22.254570541004146,20.32154479227067,20.539628982543945,36782900
2012-08-08,20.5297158069754,20.96588607826686,20.043981548586125,20.539628982543945,29537400
2012-08-09,20.569371453736448,20.985715433490075,20.4305907574003,20.82710838317871,15610700
2012-08-10,21.223622515178885,21.63005325103932,20.946059277453152,21.6201400756836,25794700
2012-08-13,21.95717766339436,22.25456721375369,21.213706623612985,21.41196632385254,24973100
2012-08-14,21.22362144909957,21.411967989907843,20.07371963602396,20.202587127685547,39308800
2012-08-15,20.46032681473464,21.22362436702242,20.222416257673192,21.015453338623047,47861100
2012-08-16,20.2620688266935,20.30171964056536,19.518597631832264,19.697031021118164,157565300
2012-08-17,19.83581479294608,19.905205146080203,18.834606534486568,18.88417053222656,129293400
2012-08-20,18.88416750673652,19.954765946806315,18.586779786451302,19.835811614990234,101186600
2012-08-21,19.409555715214086,19.806073330749307,18.923821399840296,18.99321174621582,70640600
2012-08-22,19.1914675199481,19.359987707950552,18.794948095887232,19.270771026611328,49892200
2012-08-23,19.330248183922563,19.558245529236245,19.1914675199481,19.270771026611328,32813700
2012-08-24,19.35007659639461,19.50868362663187,19.08242652383989,19.24103355407715,29622200
2012-08-27,19.320337772227145,19.359990476601816,18.93373335829913,18.98329734802246,20704000
2012-08-28,18.933733653098145,19.21129502506246,18.78503979086797,19.17164421081543,25417000
2012-08-29,19.15181525467478,19.21129241333206,18.90399155440053,18.93373107910156,16124700
2012-08-30,19.102251961423445,19.280685334590054,18.894079062480785,18.92381858825684,30647500
2012-08-31,18.517389955374355,18.537216308139097,17.873048616480766,17.902786254882812,58764200
2012-09-04,17.922612404691588,18.110958972333663,17.39722540684581,17.575658798217773,46622400
2012-09-05,18.11095778573269,18.586778871052864,18.021741095892043,18.418258666992188,60781800
2012-09-06,18.57686440165044,19.092338153553023,18.55703805179,18.79494857788086,46066500
