Date,Close,High,Low,Open,Volume
2001-12-27,1744.2900390625,1744.2900390625,1727.93994140625,1730.050048828125,129400
2001-12-28,1747.969970703125,1758.18994140625,1739.280029296875,1744.8199462890625,128600
2001-12-31,1757.75,1762.7099609375,1746.030029296875,1747.97998046875,77900
2002-01-02,1780.75,1782.0799560546875,1744.77001953125,1754.1500244140625,133500
2002-01-03,1814.0699462890625,1818.0699462890625,1780.75,1780.75,367900
2002-01-04,1816.8900146484373,1829.0699462890625,1796.6300048828125,1816.22998046875,359600
2002-01-07,1852.010009765625,1855.219970703125,1822.199951171875,1824.989990234375,481600
2002-01-08,1840.1500244140625,1852.0,1830.5699462890625,1852.0,298900
2002-01-09,1815.0,1851.2099609375,1797.469970703125,1843.8800048828125,299100
2002-01-10,1801.6300048828125,1810.6700439453125,1777.02001953125,1810.6700439453125,327700
2002-01-11,1807.77001953125,1818.5699462890625,1787.760009765625,1802.22998046875,322500
2002-01-14,1791.4100341796875,1804.1700439453125,1774.7099609375,1804.1700439453125,156800
2002-01-15,1772.1600341796875,1782.8900146484375,1756.1600341796875,1782.8900146484375,231100
2002-01-16,1786.31005859375,1799.5,1772.050048828125,1772.75,307500
2002-01-17,1803.0799560546875,1808.260009765625,1770.780029296875,1785.5,275900
2002-01-18,1837.3199462890625,1839.0699462890625,1806.97998046875,1806.97998046875,354400
2002-01-21,1830.449951171875,1851.739990234375,1826.1099853515625,1838.8399658203125,159400
2002-01-22,1806.449951171875,1837.949951171875,1803.949951171875,1830.47998046875,176400
2002-01-23,1799.77001953125,1811.8199462890625,1782.6500244140625,1806.449951171875,233700
2002-01-24,1830.550048828125,1832.030029296875,1801.6500244140625,1801.6500244140625,407700
2002-01-25,1882.3900146484373,1887.43994140625,1831.6199951171875,1831.6199951171875,999100
2002-01-28,1915.93994140625,1920.469970703125,1885.22998046875,1886.4599609375,841700
2002-01-29,1922.050048828125,1939.6199951171875,1906.760009765625,1914.52001953125,490500
2002-01-30,1917.260009765625,1928.4599609375,1890.6300048828125,1920.0799560546875,447000
2002-01-31,1913.9599609375,1948.68994140625,1906.530029296875,1921.5400390625,508000
2002-02-01,1891.6300048828125,1925.0400390625,1884.0400390625,1915.8399658203125,272600
2002-02-04,1889.0899658203125,1905.4100341796875,1885.5799560546875,1891.6600341796875,194800
2002-02-05,1895.0899658203125,1895.43994140625,1864.3199462890625,1889.1600341796875,192500
2002-02-06,1922.030029296875,1926.1600341796875,1894.81005859375,1895.4300537109373,247800
2002-02-07,1918.56005859375,1939.0699462890625,1913.260009765625,1922.3499755859373,320700
2002-02-08,1929.93994140625,1929.989990234375,1909.219970703125,1922.0799560546875,268800
2002-02-11,1966.030029296875,1970.0799560546875,1930.22998046875,1930.22998046875,176200
2002-02-15,1992.25,1994.43994140625,1965.489990234375,1974.280029296875,425200
2002-02-18,2061.409912109375,2061.409912109375,1986.2900390625,1992.5400390625,629700
2002-02-19,2037.199951171875,2068.239990234375,2017.9200439453125,2064.489990234375,492900
2002-02-20,2037.5999755859373,2047.5,2006.0799560546875,2033.0400390625,434400
2002-02-21,2019.1400146484373,2047.8599853515625,1987.300048828125,2040.1800537109373,508700
2002-02-22,2011.25,2021.6600341796875,1991.489990234375,2021.6600341796875,424100
2002-02-25,1967.6800537109373,2016.510009765625,1963.18994140625,2011.260009765625,248700
2002-02-26,1957.5999755859373,1991.530029296875,1951.9200439453125,1969.7099609375,287000
2002-02-27,2011.47998046875,2015.2900390625,1958.739990234375,1958.739990234375,322100
2002-02-28,2007.949951171875,2019.0799560546875,1981.6800537109373,2011.47998046875,206200
2002-03-01,1966.6600341796875,2014.300048828125,1955.5,2010.6600341796875,297300
2002-03-04,2002.780029296875,2003.4100341796875,1969.9100341796875,1975.6600341796875,290400
2002-03-05,2020.8199462890625,2028.300048828125,2004.0799560546875,2004.0799560546875,332900
2002-03-06,2016.47998046875,2033.260009765625,2005.9599609375,2020.8199462890625,398400
2002-03-07,2036.5,2042.280029296875,2022.449951171875,2022.449951171875,473700
2002-03-08,2049.010009765625,2058.3798828125,2029.719970703125,2041.31005859375,421500
2002-03-11,2062.719970703125,2068.659912109375,2032.6300048828125,2049.010009765625,327500
2002-03-12,2122.610107421875,2126.43994140625,2063.659912109375,2063.659912109375,716500
2002-03-13,2114.93994140625,2142.969970703125,2096.570068359375,2122.449951171875,474700
2002-03-14,2087.800048828125,2110.639892578125,2080.610107421875,2110.639892578125,398900
2002-03-15,2091.260009765625,2099.489990234375,2075.3701171875,2087.889892578125,303200
2002-03-18,2080.8701171875,2099.639892578125,2076.429931640625,2091.260009765625,258500
2002-03-19,2068.139892578125,2094.68994140625,2064.530029296875,2080.8701171875,222900
2002-03-20,2060.159912109375,2074.139892578125,2055.590087890625,2068.139892578125,206300
2002-03-21,2037.0400390625,2055.360107421875,2025.9000244140625,2053.3798828125,252700
2002-03-22,2053.89990234375,2053.89990234375,2033.7900390625,2038.18994140625,195500
2002-03-25,2031.489990234375,2058.9599609375,2015.5899658203125,2053.070068359375,215900
2002-03-26,2007.1500244140625,2031.0899658203125,1989.4300537109373,2028.1300048828125,271200
2002-03-27,2035.06005859375,2040.7900390625,2006.56005859375,2008.9300537109373,224400
2002-03-28,2034.68994140625,2045.6099853515625,2022.52001953125,2042.260009765625,222300
2002-04-02,2050.72998046875,2053.360107421875,2034.1700439453125,2036.77001953125,278200
2002-04-03,2079.18994140625,2081.5,2054.89990234375,2061.969970703125,382400
2002-04-04,2094.5400390625,2099.669921875,2066.56005859375,2077.2900390625,439400
2002-04-08,2116.510009765625,2117.4599609375,2087.449951171875,2096.780029296875,463800
2002-04-09,2115.739990234375,2133.0,2100.39990234375,2123.669921875,279700
2002-04-10,2102.60009765625,2117.070068359375,2096.929931640625,2112.81005859375,285300
2002-04-11,2081.090087890625,2109.360107421875,2074.419921875,2109.360107421875,238000
2002-04-12,2088.530029296875,2092.090087890625,2070.27001953125,2071.6201171875,253600
2002-04-15,2110.43994140625,2113.330078125,2087.389892578125,2095.469970703125,273300
2002-04-16,2104.989990234375,2122.489990234375,2100.780029296875,2117.25,256700
2002-04-17,2119.449951171875,2129.18994140625,2110.85009765625,2122.360107421875,304600
2002-04-18,2131.679931640625,2142.169921875,2118.719970703125,2127.739990234375,277600
2002-04-19,2124.889892578125,2144.070068359375,2123.090087890625,2128.860107421875,436900
2002-04-22,2114.659912109375,2137.81005859375,2113.3798828125,2131.89990234375,240700
2002-04-23,2123.179931640625,2125.60009765625,2109.14990234375,2118.4599609375,314000
2002-04-24,2100.1298828125,2125.35009765625,2086.860107421875,2124.580078125,376700
2002-04-25,2059.590087890625,2095.949951171875,2050.669921875,2095.949951171875,421000
2002-04-26,2077.669921875,2085.179931640625,2050.580078125,2064.929931640625,530900
2002-04-29,2060.580078125,2065.929931640625,2040.5400390625,2053.080078125,416200
2002-04-30,2054.7099609375,2065.469970703125,2039.93994140625,2060.9599609375,406600
2002-05-02,2076.22998046875,2088.39990234375,2067.0,2068.409912109375,415900
2002-05-03,2078.090087890625,2083.72998046875,2050.820068359375,2073.610107421875,403700
2002-05-06,2092.070068359375,2093.4599609375,2077.8701171875,2080.010009765625,243300
2002-05-07,2072.080078125,2084.2900390625,2063.10009765625,2084.2900390625,265900
2002-05-08,2052.889892578125,2071.85009765625,2036.81005859375,2070.93994140625,1024300
2002-05-09,2065.580078125,2075.9599609375,2054.7099609375,2071.39990234375,464700
2002-05-10,2069.0,2082.43994140625,2059.919921875,2074.35009765625,262100
2002-05-13,2076.75,2081.4599609375,2063.360107421875,2080.06005859375,223800
2002-05-14,2089.169921875,2090.93994140625,2077.659912109375,2084.93994140625,304200
2002-05-15,2104.679931640625,2108.7099609375,2091.889892578125,2097.800048828125,404200
2002-05-16,2130.070068359375,2130.31005859375,2101.449951171875,2103.530029296875,594800
2002-05-17,2123.8701171875,2142.0,2117.2900390625,2138.080078125,383200
2002-05-21,2135.47998046875,2138.510009765625,2119.97998046875,2133.919921875,429300
2002-05-22,2131.030029296875,2135.06005859375,2120.590087890625,2132.6298828125,302400
2002-05-23,2117.3798828125,2132.590087890625,2098.050048828125,2131.97998046875,300300
2002-05-24,2119.25,2130.6298828125,2112.590087890625,2121.6298828125,283700
2002-05-27,2112.580078125,2119.320068359375,2101.31005859375,2117.52001953125,180500
2002-05-28,2125.75,2128.60009765625,2107.1201171875,2115.77001953125,233300
2002-05-29,2113.760009765625,2126.260009765625,2103.43994140625,2126.260009765625,218500
2002-05-30,2088.360107421875,2114.580078125,2057.409912109375,2114.580078125,307200
2002-05-31,2130.60009765625,2135.27001953125,2085.090087890625,2088.320068359375,350000
2002-06-03,2150.389892578125,2153.139892578125,2129.840087890625,2130.330078125,259000
2002-06-04,2138.449951171875,2140.31005859375,2123.5,2138.10009765625,156700
2002-06-05,2170.669921875,2170.860107421875,2137.919921875,2144.219970703125,306500
2002-06-06,2193.489990234375,2202.909912109375,2172.030029296875,2175.340087890625,384800
2002-06-07,2220.530029296875,2221.199951171875,2192.469970703125,2195.0400390625,498100
2002-06-10,2243.02001953125,2256.18994140625,2221.43994140625,2225.409912109375,329700
2002-06-11,2245.320068359375,2253.77001953125,2229.7900390625,2249.469970703125,256600
2002-06-12,2245.340087890625,2248.47998046875,2227.14990234375,2238.659912109375,323300
2002-06-13,2259.830078125,2265.699951171875,2233.10009765625,2249.35009765625,317400
2002-06-14,2219.97998046875,2254.080078125,2206.239990234375,2251.800048828125,241900
2002-06-17,2158.5,2217.360107421875,2155.4599609375,2217.159912109375,205900
2002-06-18,2157.64990234375,2193.580078125,2152.72998046875,2182.820068359375,213100
2002-06-19,2088.18994140625,2169.52001953125,2078.360107421875,2160.6298828125,343700
2002-06-20,2113.139892578125,2114.27001953125,2039.1199951171875,2087.510009765625,335000
2002-06-21,2129.919921875,2133.47998046875,2086.1201171875,2095.909912109375,237100
2002-06-24,2186.010009765625,2193.9599609375,2162.320068359375,2164.06005859375,417000
2002-06-25,2158.929931640625,2190.679931640625,2150.070068359375,2190.679931640625,290700
2002-06-26,2128.2900390625,2154.9599609375,2110.469970703125,2153.35009765625,246200
2002-06-27,2141.10009765625,2156.7900390625,2132.739990234375,2137.10009765625,211900
2002-06-28,2167.389892578125,2179.56005859375,2149.449951171875,2153.22998046875,224300
2002-07-02,2171.8798828125,2181.5400390625,2153.7099609375,2163.64990234375,185100
2002-07-03,2228.27001953125,2236.860107421875,2166.580078125,2166.580078125,404800
2002-07-04,2245.199951171875,2259.280029296875,2229.77001953125,2234.60009765625,377900
2002-07-05,2220.409912109375,2249.35009765625,2209.43994140625,2249.35009765625,205900
2002-07-08,2224.860107421875,2242.070068359375,2211.2900390625,2236.489990234375,217800
2002-07-09,2233.780029296875,2238.159912109375,2206.239990234375,2232.570068359375,246800
2002-07-10,2220.090087890625,2234.820068359375,2211.830078125,2230.449951171875,148600
2002-07-11,2201.830078125,2219.2099609375,2192.659912109375,2219.2099609375,210000
2002-07-12,2218.800048828125,2220.659912109375,2200.969970703125,2210.7900390625,157300
2002-07-15,2193.489990234375,2220.739990234375,2189.860107421875,2220.739990234375,110000
2002-07-16,2183.830078125,2202.7099609375,2169.2900390625,2202.7099609375,194600
2002-07-17,2117.010009765625,2157.340087890625,2093.860107421875,2156.81005859375,198900
2002-07-18,2105.39990234375,2128.300048828125,2094.699951171875,2118.18994140625,172200
2002-07-19,2066.239990234375,2103.18994140625,2065.760009765625,2099.590087890625,188400
2002-07-22,1974.72998046875,2039.43994140625,1966.18994140625,2039.43994140625,291800
2002-07-23,2003.8900146484373,2006.97998046875,1914.5799560546875,1943.0699462890625,367600
2002-07-24,1974.719970703125,1991.699951171875,1928.1700439453125,1991.699951171875,268000
2002-07-25,1970.6800537109373,2016.719970703125,1969.1400146484373,1998.9200439453125,225900
2002-07-26,1933.530029296875,1967.31005859375,1895.760009765625,1964.56005859375,252600
2002-07-29,1964.25,1965.5,1941.3399658203125,1942.97998046875,155100
2002-07-30,2021.6800537109373,2040.260009765625,1995.739990234375,1995.739990234375,282800
2002-07-31,2046.5,2051.22998046875,2014.7900390625,2036.739990234375,181300
2002-08-01,2026.22998046875,2053.7900390625,2018.199951171875,2053.340087890625,260400
2002-08-02,1959.93994140625,2004.68994140625,1951.699951171875,2004.68994140625,249100
2002-08-05,1914.050048828125,1947.8699951171875,1909.510009765625,1947.8699951171875,227100
2002-08-06,1873.3399658203125,1900.699951171875,1857.6600341796875,1900.699951171875,223900
2002-08-07,1912.719970703125,1925.6400146484373,1908.5799560546875,1913.1300048828125,200300
2002-08-08,1919.2900390625,1937.280029296875,1906.3299560546875,1923.489990234375,168700
