Date,Open,High,Low,Close,Volume
2008-01-02,2.219595193862915,2.219595193862915,2.219595193862915,2.219595193862915,0
2008-01-03,2.1793928146362305,2.1793928146362305,2.1793928146362305,2.1793928146362305,0
2008-01-04,2.20504093170166,2.20504093170166,2.20504093170166,2.20504093170166,0
2008-01-07,2.151836395263672,2.151836395263672,2.151836395263672,2.151836395263672,0
2008-01-08,2.142575979232788,2.142575979232788,2.142575979232788,2.142575979232788,0
2008-01-09,2.146261215209961,2.146261215209961,2.146261215209961,2.146261215209961,0
2008-01-10,2.1255195140838623,2.1255195140838623,2.1255195140838623,2.1255195140838623,0
2008-01-11,2.110664129257202,2.110664129257202,2.110664129257202,2.110664129257202,0
2008-01-14,2.067189931869507,2.067189931869507,2.067189931869507,2.067189931869507,0
2008-01-15,2.0273633003234863,2.0273633003234863,2.0273633003234863,2.0273633003234863,0
2008-01-16,1.9671821594238283,1.9671821594238283,1.9671821594238283,1.967182159423828,0
2008-01-17,2.018221616744995,2.018221616744995,2.018221616744995,2.018221616744995,0
2008-01-18,1.9961649179458616,1.9961649179458616,1.9961649179458616,1.9961649179458616,0
2008-01-21,1.8787372112274168,1.8787372112274168,1.8787372112274168,1.878737211227417,0
2008-01-22,1.8472830057144165,1.8472830057144165,1.8472830057144165,1.8472830057144165,0
2008-01-23,1.920485138893128,1.920485138893128,1.920485138893128,1.920485138893128,0
2008-01-24,1.9245458841323853,1.9245458841323853,1.9245458841323853,1.9245458841323853,0
2008-01-25,1.992911577224732,1.992911577224732,1.992911577224732,1.992911577224732,0
2008-01-28,1.918776869773865,1.918776869773865,1.918776869773865,1.9187768697738647,0
2008-01-29,1.9242829084396365,1.9242829084396365,1.9242829084396365,1.924282908439636,0
2008-01-30,1.8932663202285769,1.8932663202285769,1.8932663202285769,1.8932663202285769,0
2008-01-31,1.8817468881607056,1.8817468881607056,1.8817468881607056,1.8817468881607056,0
2008-02-01,1.8980656862258911,1.8980656862258911,1.8980656862258911,1.8980656862258911,0
2008-02-04,1.9415464401245115,1.9415464401245115,1.9415464401245115,1.941546440124512,0
2008-02-05,1.9172376394271848,1.9172376394271848,1.9172376394271848,1.917237639427185,0
2008-02-06,1.8503236770629885,1.8503236770629885,1.8503236770629885,1.8503236770629885,0
2008-02-11,1.81077253818512,1.81077253818512,1.81077253818512,1.81077253818512,0
2008-02-12,1.8471195697784424,1.8471195697784424,1.8471195697784424,1.8471195697784424,0
2008-02-13,1.861786603927612,1.861786603927612,1.861786603927612,1.8617866039276123,0
2008-02-14,1.922149658203125,1.922149658203125,1.922149658203125,1.922149658203125,0
2008-02-15,1.949198603630066,1.949198603630066,1.949198603630066,1.949198603630066,0
2008-02-18,1.945794701576233,1.945794701576233,1.945794701576233,1.945794701576233,0
2008-02-19,1.955005645751953,1.955005645751953,1.955005645751953,1.955005645751953,0
2008-02-20,1.910217046737671,1.910217046737671,1.910217046737671,1.910217046737671,0
2008-02-21,1.9277870655059808,1.9277870655059808,1.9277870655059808,1.9277870655059808,0
2008-02-22,1.923888921737671,1.923888921737671,1.923888921737671,1.923888921737671,0
2008-02-25,1.9340569972991943,1.9340569972991943,1.9340569972991943,1.9340569972991943,0
2008-02-26,1.9421535730361936,1.9421535730361936,1.9421535730361936,1.9421535730361936,0
2008-02-27,1.9526093006134035,1.9526093006134035,1.9526093006134035,1.9526093006134035,0
2008-02-28,1.9398440122604368,1.9398440122604368,1.9398440122604368,1.939844012260437,0
2008-02-29,1.9098479747772217,1.9098479747772217,1.9098479747772217,1.9098479747772217,0
2008-03-03,1.84705138206482,1.84705138206482,1.84705138206482,1.84705138206482,0
2008-03-04,1.8427277803421016,1.8427277803421016,1.8427277803421016,1.842727780342102,0
2008-03-05,1.837102174758912,1.837102174758912,1.837102174758912,1.8371021747589111,0
2008-03-06,1.8415699005126955,1.8415699005126955,1.8415699005126955,1.8415699005126955,0
2008-03-07,1.8091012239456177,1.8091012239456177,1.8091012239456177,1.8091012239456177,0
2008-03-10,1.7903991937637331,1.7903991937637331,1.7903991937637331,1.790399193763733,0
2008-03-11,1.805660605430603,1.805660605430603,1.805660605430603,1.805660605430603,0
2008-03-12,1.841525912284851,1.841525912284851,1.841525912284851,1.841525912284851,0
2008-03-13,1.770851731300354,1.770851731300354,1.770851731300354,1.770851731300354,0
2008-03-14,1.7918754816055298,1.7918754816055298,1.7918754816055298,1.7918754816055298,0
2008-03-17,1.762773633003235,1.762773633003235,1.762773633003235,1.7627736330032349,0
2008-03-18,1.7907615900039673,1.7907615900039673,1.7907615900039673,1.7907615900039673,0
2008-03-19,1.790574312210083,1.790574312210083,1.790574312210083,1.790574312210083,0
2008-03-20,1.7853243350982666,1.7853243350982666,1.7853243350982666,1.7853243350982666,0
2008-03-24,1.8499107360839844,1.8499107360839844,1.8499107360839844,1.8499107360839844,0
2008-03-25,1.8953874111175537,1.8953874111175537,1.8953874111175537,1.8953874111175537,0
2008-03-26,1.8922529220581048,1.8922529220581048,1.8922529220581048,1.8922529220581048,0
2008-03-27,1.9110490083694456,1.9110490083694456,1.9110490083694456,1.9110490083694456,0
2008-03-28,1.9151917695999148,1.9151917695999148,1.9151917695999148,1.9151917695999143,0
2008-03-31,1.8997300863266,1.8997300863266,1.8997300863266,1.8997300863265991,0
2008-04-01,1.9243580102920528,1.9243580102920528,1.9243580102920528,1.9243580102920528,0
2008-04-02,1.9733830690383911,1.9733830690383911,1.9733830690383911,1.9733830690383911,0
