market,model,thin,hist,need,years,auc,cap,prot,out,fl,avgd,exitd,reentry,missed,n_ep,capP,protP,jm_auc,vm_auc,jm_protP,board
NDX,JM,False,41.0,13.3,27.7,0.7945826488455616,2.558629235525572,0.5512372011598179,0.1651836969001148,2.960120577189168,83.95180722891567,41.333333333333336,10.5,3,6,99.33333333333333,100.0,0.7945826488455616,0.8295143414649195,100.0,Global indexes
SPX,JM,False,41.7,14.0,27.7,0.731187501395777,0.8312394151672373,0.40960061443826884,0.15772101033295063,1.4439612571654477,169.9512195121951,58.0,40.5,0,4,67.0,99.0,0.731187501395777,0.7677131988691772,99.0,Global indexes
FTSE,VM,False,27.7,5.0,22.7,0.6414558035848513,0.6348796441597034,0.24954066346813852,0.16855499389925047,4.139558717144924,60.38947368421053,86.66666666666667,61.0,0,3,19.0,96.33333333333334,0.5835555496549514,0.6414558035848513,87.0,Global indexes
EWS,JM,False,29.7,5.0,24.7,0.6356194352144268,0.6782018161119252,0.31929496250933526,0.19031531531531531,2.9547041223404253,84.0,101.5,29.833333333333332,0,6,62.0,100.0,0.6356194352144268,0.6002890946694559,100.0,Global indexes
HSI,VM,False,24.7,8.0,16.7,0.6277713032151916,0.9232554582427583,0.198061562281257,0.25742092457420923,3.4728688524590168,69.66101694915254,64.0,50.25,0,4,46.33333333333333,85.0,0.5415351153268477,0.6277713032151916,16.0,Global indexes
KOSPI,VM,False,29.8,5.1,24.7,0.6224571006130892,0.5871840266693625,0.1945995414046221,0.17471264367816092,2.9139058171745154,83.42465753424658,76.28571428571429,36.666666666666664,0,7,35.66666666666667,100.0,0.4908825257540804,0.6224571006130892,45.0,Global indexes
NIKKEI,VM,False,24.3,7.6,16.7,0.6108118166652352,0.41005478848292737,0.17780788616272425,0.19334312285854136,5.148582199639403,46.96551724137931,12.0,28.6,0,5,5.333333333333334,74.66666666666667,0.5918391513571051,0.6108118166652352,52.33333333333333,Global indexes
AAPL,VM,False,41.7,14.0,27.7,0.6949388240526091,0.2885459280689351,0.4561193406324601,0.2264313387860525,4.043091520063253,61.67256637168141,28.142857142857142,17.285714285714285,0,14,73.0,64.0,0.596089891394634,0.6949388240526091,37.0,US tech
ARKQ,VM,False,12.0,4.3,7.7,0.6847542431699161,0.8756936567818159,0.3061274013358296,0.37790397521941144,8.174333925399644,30.265625,8.0,13.4,0,5,91.0,97.66666666666667,0.5068685721496624,0.6847542431699161,50.0,US tech
META,JM,False,14.3,4.6,9.7,0.6752329696106139,1.282082794731559,0.23391003567959992,0.2700819672131147,2.2673532731376973,106.08695652173913,53.0,61.5,1,6,89.33333333333333,95.33333333333334,0.6752329696106139,0.6773291080111973,95.33333333333334,US tech
AMZN,VM,False,29.3,5.6,23.7,0.6426653179963294,0.29620559804880925,0.2542309601638504,0.18390611902766135,2.6152558032105326,94.68253968253968,56.714285714285715,16.583333333333332,5,12,39.33333333333333,24.666666666666668,0.5149861417655915,0.6426653179963294,33.666666666666664,US tech
MU,VM,False,41.7,14.0,27.7,0.6356021525699402,1.2582846664826683,0.15035988529461228,0.4244511407662505,4.115289582921526,60.6,27.0625,30.36842105263158,3,19,90.33333333333333,70.66666666666667,0.5789050660128385,0.6356021525699402,34.0,US tech
GOOGL,VM,False,22.1,5.4,16.7,0.6337679830183379,0.4167429883056258,0.23399538600409087,0.20442646358876726,5.7481967213114755,43.31958762886598,28.0,27.333333333333332,1,9,35.333333333333336,98.66666666666667,0.5107737186082032,0.6337679830183379,41.333333333333336,US tech
NVDA,VM,False,27.7,4.9,22.7,0.6337053734261245,0.6333576018202427,0.5671493013313554,0.23892875897076843,3.082650108512177,80.46478873239437,21.88888888888889,21.571428571428573,5,14,93.66666666666667,89.66666666666666,0.5145445791570009,0.6337053734261245,72.66666666666667,US tech
SMH,VM,False,26.3,5.6,20.7,0.6279540127965381,0.4022596282219513,0.29408432689768055,0.206605222734255,3.622553557259984,68.52631578947368,44.125,41.44444444444444,1,9,47.0,96.33333333333334,0.5710952464858781,0.6279540127965381,77.33333333333333,US tech
MSFT,VM,False,40.5,12.8,27.7,0.6249873097411356,0.9251345542696771,0.31481232180533175,0.22600086095566077,3.8986953943467086,63.93577981651376,56.57142857142857,31.125,1,8,88.0,99.33333333333333,0.5914262415127296,0.6249873097411356,17.333333333333336,US tech
TSLA,JM,False,16.2,4.5,11.7,0.5898439241917504,0.16878445560724759,0.46226881935759573,0.5044157608695652,2.306302619270346,105.14285714285714,19.5,20.142857142857142,2,8,45.33333333333333,44.666666666666664,0.5898439241917504,0.5126309921962097,44.666666666666664,US tech
HK0939,JM,False,15.7,5.0,10.7,0.8108213755566551,0.5908361666050305,0.281650739812387,0.5676905574516496,1.1212586339217192,202.84615384615384,0.0,58.0,0,3,71.0,99.0,0.8108213755566551,0.5288223651657595,99.0,Hong Kong
HK9988,VM,True,12.0,5.3,6.7,0.7090233422366741,2.3593470018330978,0.5496187285618271,0.4924288310115082,6.410510204081633,37.52272727272727,15.5,20.0,0,4,91.33333333333333,61.33333333333333,0.3640658957811437,0.7090233422366741,24.0,Hong Kong
