Date,close,ret,rf,state,lam,p_bear,raw_state,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2015-01-02,14.620667457580566,-0.0139381766404123,5.952380819334841e-07,0.0,50.0,0.021748912554372283,0.0,0.0611722976672281,0.021748912554372283,2,2,
2015-01-05,14.005999565124512,-0.0420410281705272,1.1904762008242065e-07,0.0,50.0,0.021748912554372283,0.0,0.0900431485159341,0.021748912554372283,2,2,
2015-01-06,14.085332870483398,0.0056642373141599,7.936507759113135e-07,0.0,50.0,0.021748912554372283,0.0,0.0822980991936459,0.021748912554372283,2,2,
2015-01-07,14.063332557678224,-0.0015619306272326,7.936507759113135e-07,0.0,50.0,0.021748912554372283,0.0,0.0827999135977596,0.021748912554372283,2,2,
2015-01-08,14.041333198547363,-0.0015643062581812,7.142856835372857e-07,0.0,50.0,0.021748912554372283,0.0,0.0852517163535086,0.021748912554372283,2,2,
2015-01-09,13.77733325958252,-0.018801629106854,5.952380819334841e-07,0.0,50.0,0.021748912554372283,0.0,0.0998289948965991,0.021748912554372283,2,2,
2015-01-12,13.480667114257812,-0.0215329149506031,5.158730265167024e-07,0.0,50.0,0.021748912554372283,0.0,0.114652955755911,0.021748912554372283,2,2,
2015-01-13,13.616666793823242,0.0100884977288393,9.126984144723572e-07,0.0,50.0,0.021748912554372283,0.0,0.1022199617199928,0.021748912554372283,2,2,
2015-01-14,12.845999717712402,-0.0565973367623585,9.92063506846389e-07,0.0,50.0,0.021748912554372283,0.0,0.1451088623497984,0.021748912554372283,2,2,
2015-01-15,12.791333198547363,-0.0042555285977208,9.126984144723572e-07,0.0,50.0,0.021748912554372283,0.0,0.1421146815029149,0.021748912554372283,2,2,
2015-01-16,12.871333122253418,0.0062542287394358,7.142856835372857e-07,0.0,50.0,0.021748912554372283,0.0,0.129960514777888,0.021748912554372283,2,2,
2015-01-20,12.795332908630373,-0.0059046108822751,3.17460332538873e-07,0.0,50.0,0.021748912554372283,0.0,0.131053855673163,0.021748912554372283,2,2,
2015-01-21,13.104666709899902,0.0241755180172675,7.936507759113135e-07,0.0,50.0,0.021748912554372283,0.0,0.1044760552644639,0.021748912554372283,2,2,
2015-01-22,13.441332817077637,0.0256905509030154,5.952380819334841e-07,0.0,50.0,0.021748912554372283,0.0,0.0860013286100144,0.021748912554372283,2,2,
2015-01-23,13.419333457946776,-0.0016366947705446,5.158730265167024e-07,0.0,50.0,0.021748912554372283,0.0,0.0877756531965381,0.021748912554372283,2,2,
