market,model,thin,hist,need,years,auc,cap,prot,out,fl,avgd,exitd,reentry,missed,n_ep,capP,protP,jm_auc,vm_auc,jm_protP,board
MU,VM,False,41.6,14.0,27.6,0.6360870687272303,1.5460946907520623,0.15035988529461228,0.42432977803401556,4.024493746277546,61.94642857142857,27.0625,31.27777777777778,3,19,91.33333333333333,73.33333333333333,0.5777380261504864,0.6360870687272303,73.66666666666667,US tech
GOOGL,VM,False,22.0,5.4,16.6,0.6345386841733729,0.38172339934713845,0.23399538600409087,0.20354830975785185,5.609024108322325,44.37234042553192,28.0,29.0,1,9,23.0,94.66666666666667,0.5096443837657442,0.6345386841733729,5.333333333333334,US tech
NVDA,VM,False,27.5,4.9,22.6,0.6330697876717027,0.6333576018202429,0.5671493013313554,0.2402323125659979,3.099090909090909,80.02816901408451,21.88888888888889,21.571428571428573,5,14,93.66666666666667,99.33333333333333,0.5128364424419926,0.6330697876717027,86.66666666666667,US tech
MSFT,VM,False,40.4,12.8,27.6,0.624644761743854,0.9391253487014206,0.31481232180533175,0.22686653214182761,3.879466944609887,64.24074074074075,56.57142857142857,31.142857142857142,1,8,89.0,91.66666666666666,0.5927345376827686,0.624644761743854,11.666666666666666,US tech
TSLA,JM,False,16.1,4.5,11.6,0.5948181212853585,0.18794398693127481,0.46226881935759573,0.49914177823549605,2.330281190926276,104.03571428571429,19.5,20.142857142857142,2,8,45.33333333333333,79.66666666666666,0.5948181212853585,0.5176541961577351,79.66666666666666,US tech
SMH,JM,False,26.2,5.6,20.6,0.5709509438428308,0.4606392671020976,0.14833705979879191,0.07106991116261105,2.5263367916999204,97.69811320754717,68.0,7.888888888888889,3,9,7.000000000000001,94.66666666666667,0.5709509438428308,0.6282715717097214,94.66666666666667,US tech
HK0939,JM,False,15.6,5.0,10.6,0.807568814164559,0.5908361666050304,0.281650739812387,0.5746641074856046,1.1340232858990944,200.3846153846154,0.0,58.0,0,3,67.66666666666666,81.33333333333333,0.807568814164559,0.5287085255170361,81.33333333333333,Hong Kong
HK9988,VM,True,11.9,5.3,6.6,0.7186407667469632,1.9617294948966362,0.5496187285618271,0.4823965410747375,6.527743142144638,36.79545454545455,15.5,20.0,0,4,86.66666666666667,94.66666666666667,0.3699656603966993,0.7186407667469632,33.0,Hong Kong
HK0388,VM,False,17.6,5.0,12.6,0.6446836679764398,0.49460278433762395,0.27255142886081746,0.29912875121006777,6.197411355231673,39.22784810126582,13.25,34.0,0,4,36.666666666666664,86.66666666666667,0.26169143148760154,0.6446836679764398,62.0,Hong Kong
HK0700,VM,False,21.6,5.0,16.6,0.6427361913762537,0.4784002239625506,0.3283465875864815,0.2609547123623011,3.799661492734478,63.828125,39.5,20.625,1,9,56.333333333333336,96.33333333333334,0.5238090413194822,0.6427361913762537,77.0,Hong Kong
HK1810,VM,True,8.1,4.5,3.6,0.6095358139922498,1.557181331909253,0.4632626828264534,0.28132118451025057,3.906417112299465,58.53333333333333,28.0,3.5,1,5,100.0,100.0,0.5941862160923372,0.6095358139922498,71.33333333333334,Hong Kong
HK0005,JM,False,21.6,5.0,16.6,0.5884147181139663,1.034549824245733,0.20042460369334064,0.10624235006119952,2.412483487450462,99.63414634146342,194.0,10.8,1,5,80.66666666666666,98.33333333333333,0.5884147181139663,0.557146070303965,98.33333333333333,Hong Kong
HK0941,VM,False,21.6,5.0,16.6,0.5840504715577857,0.7318069361180405,0.13308981672359727,0.1427172582619339,2.8949801849405548,83.36734693877551,116.0,16.333333333333332,0,3,27.333333333333332,90.66666666666666,0.4303207371156464,0.5840504715577857,46.0,Hong Kong
HK1800,VM,False,17.6,5.0,12.6,0.5808783281609369,1.1206229677235295,0.16923517254743453,0.41529525653436594,5.32341744616054,45.5735294117647,11.333333333333334,28.4,0,6,67.0,54.333333333333336,0.5340122731427078,0.5808783281609369,3.0,Hong Kong
BTC,VM,False,11.9,4.3,7.6,0.6236161093841501,0.8435230056359829,0.34967109752335174,0.37676767676767675,4.7452183327318656,53.513513513513516,43.5,11.5,1,7,86.66666666666667,81.33333333333333,0.41693066778523147,0.6236161093841501,0.0,Commodity & crypto
GOLD,JM,False,18.6,6.0,12.6,0.6098271917514366,0.5429968030688159,0.0,0.571609231742017,4.847748041775456,51.016129032258064,68.0,53.333333333333336,1,3,61.0,3.3333333333333335,0.6098271917514366,0.5097123151424814,3.3333333333333335,Commodity & crypto
WTI,JM,False,20.3,5.7,14.6,0.5712638558837116,3.4936755156633597,0.3551379085400882,0.13771475320425416,3.5654214379575744,69.18867924528301,268.3333333333333,12.5,3,6,98.66666666666667,100.0,0.5712638558837116,0.5310895684180966,100.0,Commodity & crypto
SILVER,VM,False,20.3,5.7,14.6,0.5306021292911673,0.2404476810779795,-0.033017138475301244,0.32206163076083993,5.7595269382391585,43.141176470588235,12.8,23.2,0,5,1.3333333333333335,9.333333333333334,0.4808022939308709,0.5306021292911673,11.333333333333332,Commodity & crypto
ETH,JM,True,8.7,5.1,3.6,0.4872082166199813,0.493871157358608,0.40612820483657275,0.655982905982906,1.1161191749427042,187.2,46.0,53.0,0,3,0.33333333333333337,45.33333333333333,0.4872082166199813,0.4494864612511671,45.33333333333333,Commodity & crypto
