Date,close,ret,rf,state,lam,p_bear,p_bear_jm,p_bear_combo
2010-01-04,12750.5498046875,-0.0034062557222859224,2.182539670713361e-06,0.0,150.0,0.16852694238547763,0.33705388477095527,0.0
2010-01-05,13142.0302734375,0.030703026516243126,2.3809523277339444e-06,0.0,150.0,0.08854734488197301,0.17709468976394602,0.0
2010-01-06,13246.2099609375,0.007927214085830192,1.7857143566721944e-06,0.0,150.0,0.08171957400114384,0.16343914800228768,0.0
2010-01-07,13073.2001953125,-0.013061076801228255,1.7857143566721944e-06,0.0,150.0,0.11948066012859018,0.23896132025718037,0.0
2010-01-08,13035.08984375,-0.0029151509189130342,1.5873015518226308e-06,0.0,150.0,0.12298609904774548,0.24597219809549095,0.0
2010-01-11,13119.0302734375,0.006439574310087792,9.92063506846389e-07,0.0,150.0,0.14185198238164726,0.2837039647632945,0.0
2010-01-12,12967.3701171875,-0.01156031757599274,1.5873015518226308e-06,0.0,150.0,0.17785240371783018,0.35570480743566035,0.0
2010-01-13,12482.1796875,-0.03741625520847969,1.984127013692778e-06,0.0,150.0,0.3974489942818649,0.5776112822751579,0.2172867062885719
2010-01-14,12363.3701171875,-0.00951833520162182,1.7857143566721944e-06,0.0,150.0,0.41307268554815285,0.6075481013649823,0.21859726973132346
2010-01-15,12356.8798828125,-0.0005249567321435888,2.182539670713361e-06,0.0,150.0,0.36367846008341054,0.6013555057006111,0.1260014144662099
2010-01-18,12290.259765625,-0.005391338090140696,2.182539670713361e-06,0.0,150.0,0.3637242533617702,0.6007570114893842,0.12669149523415624
2010-01-19,12600.759765625,0.025263908649713507,1.984127013692778e-06,0.0,150.0,0.27063698538031333,0.47884555891418984,0.062428411846436854
2010-01-20,12282.08984375,-0.025289738698481834,1.984127013692778e-06,0.0,150.0,0.34571716177186285,0.5921222010975026,0.09931212244622312
2010-01-21,11957.830078125,-0.02640102537517308,1.5873015518226308e-06,0.0,150.0,0.40803050009345004,0.6608109796402083,0.15525002054669182
2010-01-22,11975.650390625,0.001490263064751085,1.7857143566721944e-06,0.0,150.0,0.3985860941955404,0.6299825228557789,0.1671896655353019
2010-01-25,11858.4599609375,-0.009785725690459435,1.7857143566721944e-06,0.0,150.0,0.3782573875475388,0.6318492361245771,0.12466553897050053
2010-01-26,11410.1201171875,-0.03780759434419467,2.5793649847545313e-06,0.0,150.0,0.4746378812416283,0.7045952589247045,0.24468050355855211
2010-01-27,11372.6904296875,-0.003280393818433036,2.777777789604095e-06,0.0,150.0,0.41920751182937344,0.703578077968068,0.1348369456906789
2010-01-28,11636.0302734375,0.023155456958766196,2.777777789604095e-06,0.0,150.0,0.4865686830234785,0.6835187906798663,0.2896185753670907
2010-01-29,11498.2001953125,-0.011845111682085907,2.777777789604095e-06,0.0,150.0,0.4863283539309278,0.6838708349929334,0.2887858728689222
2010-02-01,11621.6396484375,0.010735545653077327,3.3730159084948255e-06,0.0,150.0,0.47402316961553265,0.6159386866674266,0.3321076525636387
2010-02-02,11570.349609375,-0.004413322096886385,3.571428713344389e-06,0.0,150.0,0.4056100440905093,0.6431700774604941,0.1680500107205245
2010-02-03,11838.7197265625,0.02319464201583421,3.571428713344389e-06,0.0,150.0,0.38557006321636317,0.5245260373067526,0.24661408912597374
2010-02-04,11605.8798828125,-0.019667654030830595,3.3730159084948255e-06,0.0,150.0,0.41493779191852487,0.6270575764797393,0.2028180073573105
2010-02-05,11131.7802734375,-0.040849949694646503,3.3730159084948255e-06,0.0,150.0,0.5618800581661638,0.7296529501635204,0.39410716616880725
2010-02-08,10989.1904296875,-0.012809257840836641,3.571428713344389e-06,0.0,150.0,0.5635024005492311,0.7294004815275471,0.39760431957091497
