Date,close,ret,rf,state,lam,p_bear,raw_state,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2016-01-04,2.5648353099823,-0.0301317589978576,6.150793698098924e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-05,2.559854745864868,-0.0019418650772808,8.134920563962722e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-06,2.5449140071868896,-0.0058365572117377,8.134920563962722e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-07,2.490131139755249,-0.0215264120032868,7.539682445071992e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-08,2.500091075897217,0.0039997637003754,7.539682445071992e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-11,2.4502882957458496,-0.0199203863537228,6.944444326181258e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-12,2.43534779548645,-0.0060974458741605,8.333333073154326e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-13,2.43534779548645,0.0,8.531746173661852e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-14,2.4004859924316406,-0.0143149176144042,9.523809310935788e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-15,2.355663776397705,-0.0186721422975402,8.849206543157968e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-18,2.315821886062622,-0.0169132330064561,8.849206543157968e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-19,2.3606438636779785,0.0193546739864192,9.126984292552583e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-20,2.2809596061706543,-0.0337553066489126,1.0039682189623516e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-21,2.236137628555298,-0.0196504916150641,1.0833333409021768e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-22,2.275979995727539,0.0178174932810295,1.1428570936596582e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-25,2.295900583267212,0.0087525319102399,1.0912698649224782e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-26,2.2261765003204346,-0.0303689469199731,1.190476237781464e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-27,2.266019105911255,0.0178973255647454,1.190476237781464e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-28,2.3008809089660645,0.0153846024351107,1.2619047174378049e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-01-29,2.355663776397705,0.0238095188752112,1.190476237781464e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-01,2.345703363418579,-0.0042282829489178,1.1706348685991194e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-02,2.2809596061706543,-0.0276009994518525,1.3095238615596102e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-03,2.246098279953003,-0.0152836227889969,1.3214285884584698e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-04,2.2809596061706543,0.0155208374133926,1.1230158427404976e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-05,2.3108413219451904,0.013100501952642,1.1031745918213372e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-11,2.20625638961792,-0.0452583789869373,1.0833333409021768e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-12,2.146492719650269,-0.0270882705423012,1.0714286140033176e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-15,2.256058931350708,0.0510442969116107,1.0714286140033176e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-16,2.3008809089660645,0.0198673789024301,1.0833333409021768e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-17,2.261039018630981,-0.0173159289469645,1.1626984628420029e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-18,2.315821886062622,0.0242290676897787,1.1428570936596582e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-19,2.295900583267212,-0.0086022603531399,1.1230158427404976e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-22,2.3208019733428955,0.0108460228013216,1.1626984628420029e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-23,2.3208019733428955,0.0,1.2619047174378049e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-24,2.295900583267212,-0.010729648785939,1.2499999905389453e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-25,2.256058931350708,-0.0173533872532959,1.2301587396197849e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-26,2.2809596061706543,0.0110372448493791,1.2023809646803232e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-02-29,2.266019105911255,-0.0065500941879816,1.2222222155994836e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-01,2.295900583267212,0.0131867720258873,1.2698412414581057e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-02,2.370604991912842,0.0325381722493056,1.2023809646803232e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-03,2.355663776397705,-0.006302701447988,1.0436508390638564e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-04,2.385545253753662,0.0126849500575383,1.0515872448209727e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-07,2.425387382507324,0.0167014768179183,1.0515872448209727e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-08,2.395505666732788,-0.0123203888954204,1.2103174887006245e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-09,2.375584840774536,-0.0083159168583482,1.1428570936596582e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-10,2.385545253753662,0.0041928256184184,1.2023809646803232e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-11,2.3905258178710938,0.0020878095310055,1.2222222155994836e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-14,2.4303677082061768,0.0166665802298526,1.2222222155994836e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-15,2.405466318130493,-0.0102459352103814,1.2896824923772656e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-16,2.4154269695281982,0.0041408401034883,1.190476237781464e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-17,2.4652295112609863,0.0206185251556232,1.0912698649224782e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-18,2.490131139755249,0.0101011400279422,1.1111111158416386e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-21,2.4751899242401123,-0.0060001721502126,1.1428570936596582e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-22,2.4602489471435547,-0.0060362952152629,1.1706348685991194e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-23,2.4552690982818604,-0.0020241239682171,1.1626984628420029e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-24,2.420407056808472,-0.014198867854356,1.0912698649224782e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-29,2.440328598022461,0.0082306573838275,8.92857119204506e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-30,2.5150320529937744,0.0306120475053441,7.341269935880387e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-03-31,2.4652295112609863,-0.0198019511017784,7.658730305376503e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-01,2.445308208465576,-0.0080809120223537,8.650793442650444e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-05,2.395505666732788,-0.0203665703817511,8.650793442650444e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-06,2.405466318130493,0.0041580579566278,8.730158682853456e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-07,2.405466318130493,0.0,8.730158682853456e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-08,2.4303677082061768,0.0103520011433944,8.650793442650444e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-11,2.4502882957458496,0.0081965323487513,8.333333073154326e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-12,2.4602489471435547,0.0040650936524484,9.126984292552583e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-13,2.5150320529937744,0.0222673018166821,8.849206543157968e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-14,2.529973030090332,0.0059406706482219,8.531746173661852e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-15,2.5249929428100586,-0.0019684349283737,8.333333073154326e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-18,2.500091075897217,-0.0098621530740313,7.85714281456811e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-19,2.529973030090332,0.0119523462489827,8.531746173661852e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-20,2.510051965713501,-0.0078740224262864,8.650793442650444e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-21,2.5449140071868896,0.0138889720012147,8.92857119204506e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-22,2.5150320529937744,-0.0117418325761609,8.92857119204506e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-25,2.480170488357544,-0.0138612804535563,9.4444446620487e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-26,2.495110988616944,0.0060239811454632,9.722222411443312e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-27,2.510051965713501,0.0059881011965881,9.722222411443312e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-28,2.5249929428100586,0.0059524572800271,8.333333073154326e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-04-29,2.485150098800659,-0.015779388264372,7.658730305376503e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-03,2.425387382507324,-0.0240479302727737,8.055555323759714e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-04,2.420407056808472,-0.0020534145327759,7.85714281456811e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-05,2.405466318130493,-0.0061728206567368,7.261904695677376e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-06,2.370604991912842,-0.0144925439009037,7.142857426688782e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-09,2.3606438636779785,-0.0042019350625029,8.055555323759714e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-10,2.365623950958252,0.0021096309176067,9.642857171240303e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-11,2.3506834506988525,-0.0063156700173531,9.841269680431907e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-12,2.330762386322021,-0.0084745840070082,1.0238094698815115e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-13,2.3008809089660645,-0.0128204734773972,1.0238094698815115e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-16,2.2809596061706543,-0.0086581199043291,1.0238094698815115e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-17,2.305861473083496,0.0109172765907274,1.0634920899830168e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-18,2.266019105911255,-0.0172787340598402,1.0714286140033176e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-19,2.2510788440704346,-0.0065931755834919,1.150793617679959e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-20,2.2709994316101074,0.0088493513197662,1.1825397137611633e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-23,2.295900583267212,0.0109648427518318,1.242063466518644e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-24,2.330762386322021,0.0151843696146454,1.3611110902967905e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-25,2.420407056808472,0.0384615227242925,1.2499999905389453e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-26,2.420407056808472,0.0,1.0912698649224782e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-27,2.4602489471435547,0.0164608222501292,1.1825397137611633e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-30,2.4751899242401123,0.0060729533545393,1.1825397137611633e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-05-31,2.495110988616944,0.0080482972970032,1.1230158427404976e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-01,2.490131139755249,-0.0019958426236,1.1706348685991194e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-02,2.5449140071868896,0.0219999929148411,1.0714286140033176e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-03,2.534953594207764,-0.0039138505077174,1.0714286140033176e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-06,2.57977557182312,0.0176815771767071,9.92063492063492e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-07,2.6046767234802246,0.0096524488134086,1.0515872448209727e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-08,2.594716787338257,-0.0038238665290715,9.325396801744186e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-10,2.5548741817474365,-0.0153552810793242,9.523809310935788e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-13,2.520012378692627,-0.0136452132570243,9.722222411443312e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-14,2.529973030090332,0.0039526200275541,1.0436508390638564e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-15,2.5648353099823,0.0137797041617961,1.0119047429826525e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-16,2.529973030090332,-0.0135924048441957,9.722222411443312e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-17,2.5150320529937744,-0.0059055874979125,9.841269680431907e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-20,2.569815397262573,0.0217823642460488,9.841269680431907e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-21,2.589735746383667,0.0077516654084623,1.0515872448209727e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-22,2.612867832183838,0.0089322185989333,1.0634920899830168e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-23,2.618125438690185,0.0020121976479585,1.0912698649224782e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-24,2.5655527114868164,-0.0200802934903188,9.4444446620487e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-27,2.602353572845459,0.0143442234470074,9.325396801744186e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-28,2.602353572845459,0.0,1.0317459939018123e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-29,2.64441180229187,0.0161616122748546,1.0119047429826525e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-06-30,2.6917271614074707,0.0178925835509404,9.841269680431907e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-04,2.7074992656707764,0.0058594736084094,9.841269680431907e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-05,2.686470031738281,-0.0077670321832148,9.4444446620487e-06,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-06,2.64441180229187,-0.0156555736522386,1.0436508390638564e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-07,2.686470031738281,0.0159045688005019,1.0714286140033176e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-08,2.6654412746429443,-0.0078276537042663,1.0833333409021768e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-11,2.7285284996032715,0.0236685855961236,1.0912698649224782e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-12,2.7811012268066406,0.019267794787928,1.1706348685991194e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
2016-07-13,2.817902088165283,0.0132324782010537,1.1825397137611633e-05,0.0,150.0,0.02037596950177468,0.0,,0.02037596950177468,2,2,
