Date,close,ret,rf,state,lam,p_bear,p_bear_jm,p_bear_combo
2010-01-04,21823.279296875,-0.0022503464681677965,2.182539670713361e-06,0.0,150.0,0.14003600559257268,0.28007201118514535,0.0
2010-01-05,22279.580078125,0.020908900767967475,2.3809523277339444e-06,0.0,150.0,0.09123103457267895,0.1824620691453579,0.0
2010-01-06,22416.669921875,0.006153161023200848,1.7857143566721944e-06,0.0,150.0,0.08150486588925915,0.1630097317785183,0.0
2010-01-07,22269.44921875,-0.0065674653567225905,1.7857143566721944e-06,0.0,150.0,0.08542634159576047,0.17085268319152094,0.0
2010-01-08,22296.75,0.0012259297920584888,1.5873015518226308e-06,0.0,150.0,0.09238992403834342,0.18477984807668685,0.0
2010-01-11,22411.51953125,0.005147365927769654,9.92063506846389e-07,0.0,150.0,0.12214926757857278,0.24429853515714556,0.0
2010-01-12,22326.640625,-0.003787289216674816,1.5873015518226308e-06,0.0,150.0,0.12012280344813216,0.2402456068962643,0.0
2010-01-13,21748.599609375,-0.025890192140135326,1.984127013692778e-06,0.0,150.0,0.29730734909559015,0.44321156861808614,0.15140312957309418
2010-01-14,21716.94921875,-0.0014552840731573147,1.7857143566721944e-06,0.0,150.0,0.3219145970375073,0.4910073213685825,0.15282187270643213
2010-01-15,21654.16015625,-0.0028912469181348044,2.182539670713361e-06,0.0,150.0,0.28169587858913936,0.49534958877433255,0.0680421684039462
2010-01-18,21460.009765625,-0.00896596262445959,2.182539670713361e-06,0.0,150.0,0.3003037275009112,0.5150593994645644,0.08554805553725804
2010-01-19,21677.98046875,0.01015706448904563,1.984127013692778e-06,0.0,150.0,0.20439223921025232,0.40878447842050464,0.0
2010-01-20,21286.169921875,-0.01807412583657486,1.984127013692778e-06,0.0,150.0,0.24774785143322262,0.49549570286644523,0.0
2010-01-21,20862.669921875,-0.019895547275735392,1.5873015518226308e-06,0.0,150.0,0.30873470945816706,0.5565970971391773,0.0608723217771568
2010-01-22,20726.1796875,-0.006542318643113165,1.7857143566721944e-06,0.0,150.0,0.2871111924108208,0.5335482178456288,0.04067416697601275
2010-01-25,20598.55078125,-0.00615785968153959,1.7857143566721944e-06,0.0,150.0,0.2591902184558642,0.5183804369117284,0.0
2010-01-26,20109.330078125,-0.023750248661683404,2.5793649847545313e-06,0.0,150.0,0.30216407081989305,0.5599088527893075,0.0444192888504786
2010-01-27,20033.0703125,-0.0037922578886879776,2.777777789604095e-06,0.0,150.0,0.28038745099011575,0.5607749019802315,0.0
2010-01-28,20356.369140625,0.016138256546889496,2.777777789604095e-06,0.0,150.0,0.3351718413214811,0.5465854513049034,0.12375823133805872
2010-01-29,20121.990234375,-0.011513787386683405,2.777777789604095e-06,0.0,150.0,0.3396095529853004,0.5535375848064027,0.12568152116419812
2010-02-01,20243.75,0.006051079650013724,3.3730159084948255e-06,0.0,150.0,0.34545330392215934,0.5235674228702742,0.16733918497404443
2010-02-02,20272.1796875,0.0014043686322939841,3.571428713344389e-06,0.0,150.0,0.320886610382602,0.5327145965492245,0.10905862421597956
2010-02-03,20722.080078125,0.02219299540356845,3.571428713344389e-06,0.0,150.0,0.32753559528961707,0.4039086319120686,0.2511625586671656
2010-02-04,20341.640625,-0.018359134396290888,3.3730159084948255e-06,0.0,150.0,0.385772059424078,0.53296976318951,0.238574355658646
2010-02-05,19665.080078125,-0.03325988101684896,3.3730159084948255e-06,0.0,150.0,0.5352812884505435,0.6383269201872681,0.4322356567138188
2010-02-08,19550.890625,-0.005806711829870581,3.571428713344389e-06,0.0,150.0,0.5272042429837563,0.6223018387859289,0.4321066471815837
2010-02-09,19790.279296875,0.012244387044388239,3.96825402738556e-06,0.0,150.0,0.49933342733488256,0.6038669088059344,0.3947999458638307
2010-02-10,19922.220703125,0.0066669805044556885,3.96825402738556e-06,0.0,150.0,0.48483056289671445,0.5643230452079484,0.4053380805854805
2010-02-11,20290.689453125,0.018495365325523316,3.7698412225359962e-06,0.0,150.0,0.4298488378266484,0.43702976745038585,0.422667908202911
2010-02-12,20268.689453125,-0.0010842411269870178,3.571428713344389e-06,0.0,150.0,0.4325003388384707,0.4713435552953152,0.3936571223816262
2010-02-17,20534.009765625,0.013090156278411591,3.571428713344389e-06,0.0,150.0,0.4232152244076413,0.4280315139056243,0.41839893490965835
2010-02-18,20422.150390625,-0.005447517376136579,3.3730159084948255e-06,0.0,150.0,0.45628397634946527,0.48498982313661754,0.427578129562313
2010-02-19,19894.01953125,-0.025860687991870024,3.7698412225359962e-06,0.0,150.0,0.5353903195297243,0.6371907034610773,0.43358993559837133
2010-02-22,20377.26953125,0.024291219742742287,3.3730159084948255e-06,0.0,150.0,0.5335754771793371,0.5531391829243528,0.5140117714343214
2010-02-23,20623.0,0.012059047870626394,4.563492146276289e-06,0.0,150.0,0.34958554283282706,0.44124182247824756,0.2579292631874065
2010-02-24,20467.740234375,-0.00752847624618147,4.365079341426725e-06,0.0,150.0,0.3706776373750019,0.47389188493284323,0.26746338981716056
2010-02-25,20399.5703125,-0.0033306032368199956,4.563492146276289e-06,0.0,150.0,0.3830087221729631,0.5026338305508247,0.2633836137951016
2010-02-26,20608.69921875,0.010251632904338948,4.563492146276289e-06,0.0,150.0,0.36090900874284804,0.4495602115551569,0.2722578059305392
2010-03-01,21056.9296875,0.02174957594325977,4.761904655467893e-06,0.0,150.0,0.293365297316759,0.2891439227375229,0.2975866718959951
2010-03-02,20906.109375,-0.00716250254611106,4.96031746031746e-06,0.0,150.0,0.31343423546481697,0.30785179200771573,0.31901667892191826
2010-03-03,20876.7890625,-0.0014024758014067329,5.357143070016588e-06,0.0,150.0,0.3369437173068996,0.3773405797274001,0.2965468548863991
2010-03-04,20575.779296875,-0.014418393782868133,5.357143070016588e-06,0.0,150.0,0.42505163737220564,0.5075111359718686,0.3425921387725427
2010-03-05,20787.970703125,0.010312678960462396,5.753968088399794e-06,0.0,150.0,0.27360808391202707,0.38994793874450273,0.15726822907955143
2010-03-08,21196.869140625,0.019669954481825958,5.753968088399794e-06,0.0,150.0,0.19767496666759712,0.2839251685881879,0.11142476474700637
2010-03-09,21207.55078125,0.0005039253936105492,5.952381188907317e-06,0.0,150.0,0.18483086958618075,0.2773508936975999,0.09231084547476158
2010-03-10,21208.2890625,3.4812188244526254e-05,5.753968088399794e-06,0.0,150.0,0.18123951412233172,0.3019971822681613,0.060481845976502156
2010-03-11,21228.19921875,0.0009387912523883823,5.753968088399794e-06,0.0,150.0,0.127670458812296,0.20818465624562607,0.04715626137896595
2010-03-12,21209.740234375,-0.0008695501763850144,5.55555557920819e-06,0.0,150.0,0.1070063562091678,0.17525569964568943,0.038757012772646184
2010-03-15,21079.099609375,-0.006159463697168133,5.753968088399794e-06,0.0,150.0,0.07467032020877454,0.14934064041754908,0.0
2010-03-16,21022.9296875,-0.0026647211178800756,6.150793698098924e-06,0.0,150.0,0.10550180297095003,0.21100360594190007,0.0
2010-03-17,21384.490234375,0.0171983901506354,5.952381188907317e-06,0.0,150.0,0.06744282209289393,0.13488564418578786,0.0
2010-03-18,21330.669921875,-0.002516791932383078,5.753968088399794e-06,0.0,150.0,0.08198982867383797,0.16397965734767594,0.0
2010-03-19,21370.8203125,0.0018822845589028248,5.753968088399794e-06,0.0,150.0,0.057282005558560896,0.11456401111712179,0.0
2010-03-22,20933.25,-0.020475129456966168,5.55555557920819e-06,0.0,150.0,0.1388365830324815,0.277673166064963,0.0
2010-03-23,20987.779296875,0.0026049130868355252,5.158729969509063e-06,0.0,150.0,0.1740391036455936,0.3480782072911872,0.0
2010-03-24,21008.619140625,0.0009929513482687113,5.357143070016588e-06,0.0,150.0,0.1982456180426365,0.396491236085273,0.0
2010-03-25,20778.55078125,-0.010951141426049693,5.158729969509063e-06,0.0,150.0,0.18879820234146852,0.368952591229784,0.008643813453153015
2010-03-26,21053.109375,0.013213558377601409,5.158729969509063e-06,0.0,150.0,0.11729385797576848,0.2137555935816299,0.020832122369907058
2010-03-29,21237.4296875,0.008755016145922667,4.96031746031746e-06,0.0,150.0,0.09768129767296023,0.16398595246081013,0.03137664288511033
2010-03-30,21374.7890625,0.006467796575253537,5.952381188907317e-06,0.0,150.0,0.07993009145882388,0.12139817531317537,0.03846200760447239
2010-03-31,21239.349609375,-0.006336411214584392,5.952381188907317e-06,0.0,150.0,0.13469551331480012,0.22054976485299368,0.048841261776606526
2010-04-01,21537.0,0.01401410100117273,5.952381188907317e-06,0.0,150.0,0.08350862047069824,0.1171190760282041,0.049898164913192364
2010-04-07,21928.76953125,0.018190534022844318,6.3492062072905275e-06,0.0,150.0,0.09957591397383996,0.1206521169522913,0.0784997109953886
2010-04-08,21867.0390625,-0.0028150448050461296,6.150793698098924e-06,0.0,150.0,0.07711711678349739,0.10302008521216599,0.051214148354828785
2010-04-09,22208.5,0.015615325720324646,5.952381188907317e-06,0.0,150.0,0.09185831795132872,0.1376068388240366,0.04610979707862083
2010-04-12,22138.169921875,-0.0031668090201949495,5.357143070016588e-06,0.0,150.0,0.08719383438991174,0.1323272928139445,0.042060375965878985
2010-04-13,22103.529296875,-0.0015647465496130275,5.952381188907317e-06,0.0,150.0,0.09118047827777426,0.1386312359612347,0.04372972059431381
2010-04-14,22121.4296875,0.0008098430972076631,6.150793698098924e-06,0.0,150.0,0.08773735391373416,0.14165908199182525,0.033815625835643084
2010-04-15,22157.8203125,0.0016450394714118133,5.952381188907317e-06,0.0,150.0,0.10373203118818063,0.18587822113516003,0.02158584124120121
