Date,close,ret,rf,state,lam,p_bear,raw_state
2020-01-02,206.81509399414065,0.03616215027761305,5.932539701461792e-05,0.0,50.0,0.20297702977216278,0.0
2020-01-03,204.20838928222656,-0.012604035138692238,5.845238292028033e-05,0.0,50.0,0.16870048639761256,0.0
2020-01-06,203.86959838867188,-0.0016590449331954638,5.904762044785515e-05,0.0,50.0,0.16358291063154135,0.0
2020-01-07,204.80123901367188,0.004569786924403685,5.9523809523809524e-05,0.0,50.0,0.16815027235956742,0.0
2020-01-08,205.14942932128903,0.001700137700797466,5.924603295704674e-05,0.0,50.0,0.16951521546624926,0.0
2020-01-09,208.7066192626953,0.017339506881275613,5.9523809523809524e-05,0.0,50.0,0.19207300727891854,0.0
2020-01-10,210.63575744628903,0.009243301388373926,5.944444546623834e-05,0.0,50.0,0.2029556214911992,0.0
2020-01-13,216.8937530517578,0.029710034427865573,5.992063454219273e-05,0.0,50.0,0.24195321578500434,0.0
2020-01-14,213.1389617919922,-0.017311661617426144,6.071428457895915e-05,0.0,50.0,0.1942928221531796,0.0
2020-01-15,211.7932586669922,-0.0063137359480680555,5.984127048462156e-05,0.0,50.0,0.17736985058963053,0.0
2020-01-16,210.73928833007807,-0.004976411164112182,6.023809550300477e-05,0.0,50.0,0.16629817510089237,0.0
2020-01-17,214.02354431152344,0.015584450376909809,6.043650801219637e-05,0.0,50.0,0.18467111693180702,0.0
2020-01-21,209.15830993652344,-0.022732239065802795,5.9642857975429956e-05,0.0,50.0,0.14663551634797203,0.0
2020-01-22,209.2618103027344,0.0004948422381227946,6.0039682993813164e-05,0.0,50.0,0.14772450185279534,0.0
2020-01-23,206.2128143310547,-0.014570245604149212,6.011904705138434e-05,0.0,50.0,0.14712656915289868,0.0
2020-01-24,201.14996337890625,-0.024551582638412173,5.9126984505426316e-05,0.0,50.0,0.2147080332674656,0.0
2020-01-27,193.3580322265625,-0.0387369255328478,5.972222203300113e-05,0.0,50.0,0.41357138948481326,0.0
2020-01-28,197.8374481201172,0.023166432973966256,6.071428457895915e-05,0.0,50.0,0.2303221007055265,0.0
2020-01-29,199.52194213867188,0.008514535718899596,6.031745956057594e-05,0.0,50.0,0.16423244816175717,0.0
2020-01-30,196.28472900390625,-0.016224847753916194,6.063492052138797e-05,0.0,50.0,0.2475991220724746,0.0
2020-01-31,194.4120178222656,-0.009540788991299398,5.992063454219273e-05,0.0,50.0,0.2961370150864666,0.0
2020-02-03,200.5382843017578,0.031511768398458484,6.023809550300477e-05,0.0,50.0,0.10245074688729959,0.0
2020-02-04,209.7417755126953,0.04589393612786985,6.1031745539771194e-05,0.0,50.0,0.14885259469712614,0.0
2020-02-05,207.23855590820312,-0.011934768828829156,6.031745956057594e-05,0.0,50.0,0.1091629332033264,0.0
2020-02-06,207.87847900390625,0.003087857338605282,6.071428457895915e-05,0.0,50.0,0.10610460147851158,0.0
2020-02-07,203.76608276367188,-0.019782693523349715,6.023809550300477e-05,0.0,50.0,0.08536074871453793,0.0
2020-02-10,203.05088806152344,-0.0035098809990763424,6.031745956057594e-05,0.0,50.0,0.09719784804246313,0.0
2020-02-11,204.406005859375,0.006673784147356088,6.1031745539771194e-05,0.0,50.0,0.07995473445328924,0.0
2020-02-12,211.0874786376953,0.03268726254020615,6.0912697088150755e-05,0.0,50.0,0.13201206394171616,0.0
2020-02-13,207.37030029296875,-0.017609658179235876,6.130952210653396e-05,0.0,50.0,0.0852559037600688,0.0
2020-02-14,206.683349609375,-0.0033126763216489996,6.0912697088150755e-05,0.0,50.0,0.08084435812747573,0.0
2020-02-18,207.52088928222656,0.004052284203998502,6.0912697088150755e-05,0.0,50.0,0.083161784457814,0.0
2020-02-19,209.0453948974609,0.007346275454520823,6.123015804896279e-05,0.0,50.0,0.0892840986803363,0.0
2020-02-20,205.18707275390625,-0.018456862661084705,6.1031745539771194e-05,0.0,50.0,0.08469807155657451,0.0
2020-02-21,200.05833435058597,-0.024995426536795096,6.023809550300477e-05,0.0,50.0,0.20161509399357824,0.0
2020-02-24,194.0073699951172,-0.030245999873541707,5.9642857975429956e-05,0.0,50.0,0.41926071434145956,0.0
2020-02-25,193.48977661132807,-0.0026679057800852446,5.9126984505426316e-05,0.0,50.0,0.42588111554706776,0.0
2020-02-26,196.43528747558597,0.015223082665368315,5.865079542947194e-05,0.0,50.0,0.2591974613869082,0.0
2020-02-27,192.9439697265625,-0.017773373582164465,5.535714210025848e-05,0.0,50.0,0.41328491653579336,0.0
2020-02-28,195.7388916015625,0.014485665859165886,4.880952456640819e-05,0.0,50.0,0.21692846158725904,0.0
2020-03-02,198.54324340820312,0.014327003610243416,4.503968216124035e-05,0.0,50.0,0.10034141043230048,0.0
2020-03-03,195.18370056152344,-0.016920962854286126,3.642857074737549e-05,0.0,50.0,0.22177372354791103,0.0
2020-03-04,199.4654693603516,0.021937122754153826,2.6785714758767023e-05,0.0,50.0,0.07902584425395197,0.0
2020-03-05,198.99496459960935,-0.0023588281332657113,2.3611112246437678e-05,0.0,50.0,0.08359927912669099,0.0
2020-03-06,192.5769805908203,-0.03225199201247342,1.6468253637117052e-05,0.0,50.0,0.342270517712178,0.0
2020-03-09,186.0084228515625,-0.03410873781022883,1.3095238615596102e-05,0.0,50.0,0.5557498369332181,0.0
2020-03-10,194.22381591796875,0.044166779871910755,1.547618990852719e-05,0.0,50.0,0.19711322331209266,0.0
2020-03-11,187.1847381591797,-0.03624209382108967,1.4603174631557765e-05,0.0,50.0,0.48754335756663786,0.0
2020-03-12,174.18881225585938,-0.06942834138683218,1.0833333409021768e-05,0.0,50.0,0.6386473862777305,0.0
2020-03-13,182.5641632080078,0.04808202572646403,9.642857171240305e-06,0.0,50.0,0.5486039748445697,0.0
2020-03-16,168.30723571777344,-0.07809269486252068,7.3412699358803885e-06,0.0,50.0,0.6395526394869493,0.0
2020-03-17,173.9158935546875,0.03332392581337951,6.547619307798051e-06,0.0,50.0,0.6420734072490287,0.0
2020-03-18,169.38943481445312,-0.02602671123217981,1.1904762008242064e-07,0.0,50.0,0.6524585829243047,0.0
2020-03-19,170.2175750732422,0.004888972324018859,-1.1111111454074327e-06,0.0,50.0,0.6632368312299908,0.0
2020-03-20,170.61280822753906,0.0023219291787397456,-1.309523802428016e-06,0.0,50.0,0.6755713378828784,0.0
2020-03-23,165.94517517089844,-0.027358046005641068,-1.5873015518226308e-06,0.0,50.0,0.6802510886706942,0.0
2020-03-24,174.8004913330078,0.05336290225364926,-1.309523802428016e-06,0.0,50.0,0.5565378586861913,0.0
2020-03-25,177.44483947753906,0.015127807275401528,-2.777777789604095e-06,0.0,50.0,0.45592798136102825,0.0
2020-03-26,183.80636596679688,0.03585072695260361,-4.166666536577163e-06,0.0,50.0,0.2707445849547787,0.0
2020-03-27,177.47308349609375,-0.03445627379329819,-2.3015872353599167e-06,0.0,50.0,0.4610920512620954,0.0
2020-03-30,179.99510192871094,0.014210709494280493,5.158730265167024e-07,0.0,50.0,0.3473127959408756,0.0
2020-03-31,183.015869140625,0.01678249674321952,1.1904761638669722e-06,0.0,50.0,0.26267267231798447,0.0
2020-04-01,176.5037841796875,-0.03558207816358139,2.5000000402094805e-06,0.0,50.0,0.49130357186523627,0.0
2020-04-02,177.76480102539062,0.007144418186634249,2.5793649847545313e-06,0.0,50.0,0.4274021846274025,0.0
2020-04-03,176.080322265625,-0.00947588470861016,2.3015872353599167e-06,0.0,50.0,0.5107238654799451,0.0
2020-04-06,184.8697509765625,0.049917154840722455,2.3809523277339444e-06,0.0,50.0,0.23013973454260922,0.0
2020-04-07,186.3283843994141,0.007890059975450114,5.0793653206219725e-06,0.0,50.0,0.21193703998997093,0.0
2020-04-08,184.4274444580078,-0.01020209533578853,7.3412699358803885e-06,0.0,50.0,0.2141728460309236,0.0
2020-04-09,184.79446411132807,0.0019900490103241797,8.333333073154326e-06,0.0,50.0,0.20105847775115224,0.0
2020-04-13,187.6835021972656,0.015633791303385935,7.93650805477112e-06,0.0,50.0,0.1732293780699668,0.0
2020-04-14,192.70870971679688,0.02677490275223815,6.547619307798051e-06,0.0,50.0,0.1948074100750745,0.0
2020-04-15,195.8988800048828,0.01655436483786432,4.563492146276289e-06,0.0,50.0,0.20442770049540823,0.0
2020-04-16,200.12420654296875,0.021568916259146587,4.365079341426725e-06,0.0,50.0,0.22827075704484215,0.0
2020-04-17,197.1504821777344,-0.014859393656588282,4.0873015920321115e-06,0.0,50.0,0.16786074849345567,0.0
2020-04-20,199.62545776367188,0.012553738436745121,2.777777789604095e-06,0.0,50.0,0.18091836521529167,0.0
2020-04-21,195.1178131103516,-0.022580510040240975,3.888888787182548e-06,0.0,50.0,0.10893398517827078,0.0
