Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2010-01-04,15.54658031463623,0.0109198489043655,2.182539670713361e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-01-05,15.47811794281006,-0.0044036933165113,2.3809523277339444e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-01-06,15.087934494018556,-0.0252087140202179,1.7857143566721944e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-01-07,14.736692428588867,-0.0232796653225751,1.7857143566721944e-06,0.0,,0.018255578093306288,0,0.0559076470106108,,0.018255578093306288,2,2,-0.5440923529893892
2010-01-08,14.933150291442873,0.013331204665226,1.5873015518226308e-06,0.0,,0.018255578093306288,0,0.0559076470106108,,0.018255578093306288,2,2,-0.5440923529893892
2010-01-11,14.910577774047852,-0.0015115710318642,9.92063506846389e-07,0.0,,0.018255578093306288,0,0.0486812383845668,,0.018255578093306288,2,2,-0.5513187616154331
2010-01-12,14.646900177001951,-0.0176839288887139,1.5873015518226308e-06,0.0,,0.031007751937984496,0,0.0713341828377561,,0.031007751937984496,2,2,-0.5286658171622439
2010-01-13,14.562810897827148,-0.0057410973078684,1.984127013692778e-06,0.0,,0.031007751937984496,0,0.0709723206547846,,0.031007751937984496,2,2,-0.5290276793452153
2010-01-14,14.63127326965332,0.0047011783855812,1.7857143566721944e-06,0.0,,0.031007751937984496,0,0.0709723206547846,,0.031007751937984496,2,2,-0.5290276793452153
2010-01-15,14.386942863464355,-0.0166991895842537,2.182539670713361e-06,0.0,,0.031007751937984496,0,0.0883138320567967,,0.031007751937984496,2,2,-0.5116861679432033
2010-01-19,14.575957298278809,0.0131379151643435,1.984127013692778e-06,0.0,,0.031007751937984496,0,0.0883138320567967,,0.031007751937984496,2,2,-0.5116861679432033
2010-01-20,14.39711093902588,-0.0122699563118263,1.984127013692778e-06,0.0,,0.031007751937984496,0,0.0786128154181981,,0.031007751937984496,2,2,-0.5213871845818019
2010-01-21,14.460861206054688,0.0044279902612962,1.5873015518226308e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-01-22,13.643037796020508,-0.0565542672999144,1.7857143566721944e-06,0.0,,0.9285714285714286,1,0.6329432382680418,,0.9285714285714286,1,2,0.0329432382680418
2010-01-25,13.394740104675291,-0.0181995897876675,1.7857143566721944e-06,1.0,,0.4666666666666667,1,0.6081896428902415,,0.5333333333333333,3,3,-0.008189642890241489
2010-01-26,13.454767227172852,0.0044813950870616,2.579364984754532e-06,1.0,,0.4666666666666667,1,0.6169065777378502,,0.5333333333333333,3,3,-0.016906577737850204
2010-01-27,13.44683074951172,-0.0005898636168972,2.777777789604095e-06,1.0,,0.5416666666666667,1,0.6389479974060251,,0.4583333333333333,3,3,-0.03894799740602517
2010-01-28,13.25310230255127,-0.0144069967540482,2.777777789604095e-06,1.0,,0.5416666666666667,1,0.6333839290130556,,0.4583333333333333,3,3,-0.033383929013055647
2010-01-29,13.145200729370115,-0.0081416087130318,2.777777789604095e-06,1.0,,0.2222222222222222,1,0.6014825096395621,,0.7777777777777778,3,3,-0.0014825096395620907
2010-02-01,13.221599578857422,0.0058119195788779,3.373015908494825e-06,1.0,,0.5416666666666667,1,0.6294386500537779,,0.4583333333333333,3,3,-0.02943865005377788
2010-02-02,13.174468040466309,-0.0035647379963374,3.571428713344389e-06,1.0,,0.4666666666666667,1,0.6134723456491501,,0.5333333333333333,3,3,-0.01347234564915012
2010-02-03,13.415081024169922,0.0182635824812473,3.571428713344389e-06,1.0,,0.6153846153846154,1,0.6403589325630329,,0.38461538461538464,3,3,-0.04035893256303291
2010-02-04,13.066815376281738,-0.0259607562012271,3.373015908494825e-06,1.0,,0.6790123456790124,1,0.6589359759333078,,0.32098765432098764,3,3,-0.058935975933307794
2010-02-05,13.178686141967772,0.0085614407538883,3.373015908494825e-06,1.0,,0.0,0,0.0290930707680356,,1.0,2,3,0.5709069292319644
2010-02-08,13.23276138305664,0.0041032346097586,3.571428713344389e-06,1.0,,0.0714285714285714,0,0.0,,0.9285714285714286,1,3,0.6
2010-02-09,13.30643367767334,0.0055674165417227,3.96825402738556e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-10,13.257071495056152,-0.0037096478149521,3.96825402738556e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-11,13.30544090270996,0.0036485740966127,3.769841222535996e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-12,13.224080085754396,-0.0061148531304205,3.571428713344389e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-16,13.426986694335938,0.0153437220030239,3.373015908494825e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-17,13.350337028503418,-0.0057086275258508,3.571428713344389e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-18,13.474611282348633,0.0093086978688168,3.373015908494825e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-19,13.413592338562012,-0.0045284381499416,3.769841222535996e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
2010-02-22,13.464193344116213,0.0037723679292631,3.373015908494825e-06,0.0,,0.01079661511526116,0,0.0,,0.01079661511526116,2,2,-0.6
