Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm
2012-01-03,28.82999992370605,0.0701558779577264,1.9841269397782539e-07,1.0,,,1.0,1.0
2012-01-04,28.38999938964844,-0.0152618985508845,3.9682538795565474e-07,1.0,,,1.0,1.0
2012-01-05,28.51000022888184,0.0042268700885268,3.9682538795565474e-07,1.0,,,1.0,1.0
2012-01-06,27.90999984741211,-0.0210452604929095,5.952380819334841e-07,1.0,,,1.0,1.0
2012-01-09,28.1299991607666,0.0078824548390274,1.9841269397782539e-07,1.0,,,1.0,1.0
2012-01-10,29.049999237060547,0.0327053005240429,3.9682538795565474e-07,1.0,,,1.0,1.0
2012-01-11,29.13999938964844,0.0030981120465254,5.952380819334841e-07,1.0,,,1.0,1.0
2012-01-12,29.309999465942383,0.0058339080252118,7.936507759113135e-07,1.0,,,1.0,1.0
2012-01-13,28.81999969482422,-0.0167178362349522,7.936507759113135e-07,1.0,,,1.0,1.0
2012-01-17,29.190000534057617,0.0128383359872084,7.936507759113135e-07,1.0,,,1.0,0.8669316139389605
2012-01-18,29.64999961853028,0.0157587898614786,9.92063506846389e-07,1.0,,,1.0,0.9061430850634913
2012-01-19,29.739999771118164,0.003035418338813,1.5873015518226308e-06,1.0,,,1.0,0.6710699817499948
2012-01-20,31.21999931335449,0.0497646117561041,1.5873015518226308e-06,1.0,,,1.0,0.6726939420667888
2012-01-23,31.38999938964844,0.0054452299818352,1.3888888948020476e-06,1.0,,,1.0,0.44164375198563477
2012-01-24,31.07999992370605,-0.0098757397887881,1.3888888948020476e-06,1.0,,,1.0,0.6103959867435601
2012-01-25,32.369998931884766,0.0415057596957963,1.3888888948020476e-06,1.0,,,1.0,0.3271755191277078
2012-01-26,32.43000030517578,0.0018536106045994,1.7857143566721944e-06,1.0,,,1.0,0.3104592040802512
2012-01-27,32.959999084472656,0.016342854588635,1.984127013692778e-06,0.0,,,0.0,0.3154554021222622
2012-01-30,32.529998779296875,-0.0130461261262095,1.7857143566721944e-06,0.0,,,0.0,0.48616701845382604
2012-01-31,32.279998779296875,-0.0076852139373305,2.182539670713361e-06,0.0,,,0.0,0.6973845732115573
2012-02-01,32.77000045776367,0.0151797303902336,2.182539670713361e-06,0.0,,,0.0,0.524436588966205
2012-02-02,33.36000061035156,0.0180042766050103,2.9761905944536585e-06,0.0,,,0.0,0.49903355500355207
2012-02-03,32.689998626708984,-0.02008399194797,2.777777789604095e-06,0.0,,,0.0,0.7289376094722482
2012-02-06,32.68000030517578,-0.0003058526140479,2.5793649847545317e-06,1.0,,,1.0,0.862025659439933
2012-02-07,33.2599983215332,0.0177477971524242,3.1746031036452616e-06,1.0,,,1.0,0.8917256501620365
2012-02-08,33.040000915527344,-0.006614474356826,2.9761905944536585e-06,1.0,,,1.0,1.0
2012-02-09,32.900001525878906,-0.0042372695450696,3.373015908494825e-06,1.0,,,1.0,1.0
2012-02-10,32.5099983215332,-0.0118542001902014,3.1746031036452616e-06,1.0,,,1.0,1.0
2012-02-13,32.75,0.0073823959045802,3.769841222535996e-06,1.0,,,1.0,1.0
2012-02-14,32.540000915527344,-0.0064121857854245,4.365079341426725e-06,1.0,,,1.0,1.0
2012-02-15,32.45000076293945,-0.0027658312862844,4.166666536577163e-06,1.0,,,1.0,1.0
2012-02-16,32.56999969482422,0.0036979639156684,3.769841222535996e-06,1.0,,,1.0,1.0
2012-02-17,32.279998779296875,-0.0089039274867855,2.9761905944536585e-06,1.0,,,1.0,1.0
2012-02-21,33.380001068115234,0.0340768999509335,2.777777789604095e-06,1.0,,,1.0,1.0
2012-02-22,33.439998626708984,0.0017974103257611,3.1746031036452616e-06,1.0,,,1.0,1.0
2012-02-23,34.400001525878906,0.0287082218479266,3.373015908494825e-06,1.0,,,1.0,1.0
2012-02-24,34.369998931884766,-0.0008721683913754,3.571428713344389e-06,1.0,,,1.0,1.0
2012-02-27,34.36000061035156,-0.0002909025849263,3.96825402738556e-06,1.0,,,1.0,1.0
2012-02-28,35.83000183105469,0.0427823397727258,3.769841222535996e-06,1.0,,,1.0,0.9482101388949742
2012-02-29,33.54999923706055,-0.0636338955477811,2.9761905944536585e-06,1.0,,,1.0,0.9842084649617755
2012-03-01,34.439998626708984,0.0265275532008153,2.777777789604095e-06,1.0,,,1.0,0.9472214971820514
2012-03-02,33.7599983215332,-0.0197444928075121,2.3809523277339444e-06,1.0,,,1.0,0.9075538330036914
2012-03-05,33.029998779296875,-0.0216232102645191,2.3809523277339444e-06,1.0,,,1.0,0.8758991351639556
2012-03-06,32.0099983215332,-0.0308810322573491,2.777777789604095e-06,1.0,,,1.0,0.8486262492153829
2012-03-07,32.40999984741211,0.012496143294385,2.9761905944536585e-06,1.0,,,1.0,0.8178252190217861
2012-03-08,32.849998474121094,0.0135760144640704,2.9761905944536585e-06,1.0,,,1.0,0.7841762025327803
2012-03-09,33.220001220703125,0.0112634022456201,3.1746031036452616e-06,1.0,,,1.0,0.7436268908274712
2012-03-12,32.630001068115234,-0.0177603892506841,2.9761905944536585e-06,1.0,,,1.0,0.6937948999318366
2012-03-13,32.2599983215332,-0.0113393421535491,3.1746031036452616e-06,1.0,,,1.0,0.6522484272070206
2012-03-14,31.270000457763672,-0.0306880940879875,3.1746031036452616e-06,1.0,,,1.0,0.6143245508461592
2012-03-15,31.530000686645508,0.0083146858035072,2.9761905944536585e-06,1.0,,,1.0,0.5869051948705262
2012-03-16,31.59000015258789,0.0019029325923165,3.1746031036452616e-06,1.0,,,1.0,0.5592631677741067
2012-03-19,31.979999542236328,0.0123456596316757,2.9761905944536585e-06,0.0,,,0.0,0.5312837496159695
2012-03-20,31.14999961853028,-0.0259537190614983,3.769841222535996e-06,0.0,,,0.0,0.5035591786266935
2012-03-21,31.209999084472656,0.0019261466027975,3.373015908494825e-06,0.0,,,0.0,0.4765052258877156
