Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2019-01-01,3843.52001953125,0.0269376568360508,9.126983937763032e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-02,3943.409423828125,0.0259890422813662,9.384920672764854e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-03,3836.7412109375,-0.0270497433632126,9.345238170926534e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-04,3857.717529296875,0.0054672226262164,9.357143016088576e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-07,4025.248291015625,0.0434274309734867,9.337301292116682e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-08,4030.847900390625,0.0013911214837352,9.523809902251714e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-09,4035.29638671875,0.0011036105648376,9.484127400413393e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-10,3678.924560546875,-0.0883136681966635,9.424603174603177e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-11,3687.365478515625,0.0022943982214995,9.404761450631278e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-14,3706.05224609375,0.0050677828620468,9.365078948792958e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-15,3630.67529296875,-0.0203388803286431,9.45634879763164e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-16,3655.0068359375,0.0067016576822143,9.376983793955e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-17,3678.56396484375,0.006445166852939,9.345238170926534e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-18,3657.83935546875,-0.0056338858242146,9.317460514250255e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-21,3576.032470703125,-0.0223648107026125,9.317460514250255e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-22,3604.5771484375,0.0079822199513648,9.305555669088212e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-23,3585.123046875,-0.0053970551222445,9.337301292116682e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-24,3600.865478515625,0.0043910436084884,9.14682566173493e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-25,3599.765869140625,-0.0003053736335224,9.238095510573614e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-28,3470.450439453125,-0.0359232890105631,9.257936288440038e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-29,3448.116943359375,-0.0064353306532939,9.384920672764854e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-30,3486.181640625,0.0110392709675732,9.384920672764854e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-01-31,3457.792724609375,-0.0081432693250416,9.285713945116316e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-02-01,3487.9453125,0.008720183739189,9.285713945116316e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-02-04,3459.154052734375,-0.0082545043531627,9.265873167249892e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-02-05,3466.357421875,0.0020824077305636,9.384920672764854e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-02-06,3413.767822265625,-0.0151714301812906,9.384920672764854e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
2019-02-07,3399.4716796875,-0.0041877899501193,9.345238170926534e-05,1.0,,0.9696233292831106,1,1.0,,0.030376670716889428,3,3,-0.4
