Date,close,ret,rf,state,lam,p_bear
2010-01-04,10654.7900390625,0.010273571457342534,2.182539670713361e-06,0.0,50.0,0.10278271043545935
2010-01-05,10681.830078125,0.002537829367201594,2.3809523277339444e-06,0.0,50.0,0.11395902361137612
2010-01-06,10731.4501953125,0.004645282393053174,1.7857143566721944e-06,0.0,50.0,0.11949668072877184
2010-01-07,10681.66015625,-0.004639637528602414,1.7857143566721944e-06,0.0,50.0,0.09122838163934072
2010-01-08,10798.3203125,0.010921537901740885,1.5873015518226308e-06,0.0,50.0,0.12244814377552554
2010-01-12,10879.1396484375,0.007484435875081852,1.5873015518226308e-06,0.0,50.0,0.15167155251777195
2010-01-13,10735.0302734375,-0.01324639444449982,1.984127013692778e-06,0.0,50.0,0.047498013088545746
2010-01-14,10907.6796875,0.016082806444402742,1.7857143566721944e-06,0.0,50.0,0.09548555738518397
2010-01-15,10982.099609375,0.006822708770984898,2.182539670713361e-06,0.0,50.0,0.13455771587947898
2010-01-18,10855.080078125,-0.011566051644766429,2.182539670713361e-06,0.0,50.0,0.09802815707891947
2010-01-19,10764.900390625,-0.00830760223332938,1.984127013692778e-06,0.0,50.0,0.047253744263679384
2010-01-20,10737.51953125,-0.002543531141156241,1.984127013692778e-06,0.0,50.0,0.03933036624428494
2010-01-21,10868.41015625,0.012190024392417786,1.5873015518226308e-06,0.0,50.0,0.05244718635453105
2010-01-22,10590.5498046875,-0.025565869116810358,1.7857143566721944e-06,0.0,50.0,0.09997084375908716
2010-01-25,10512.6904296875,-0.007351778371840423,1.7857143566721944e-06,0.0,50.0,0.12444381251208045
2010-01-26,10325.2802734375,-0.01782704032839777,2.5793649847545313e-06,0.0,50.0,0.2717606762353271
2010-01-27,10252.080078125,-0.007089414851121578,2.777777789604095e-06,0.0,50.0,0.36247454159002995
2010-01-28,10414.2900390625,0.015822151183115363,2.777777789604095e-06,0.0,50.0,0.1892739502859873
2010-01-29,10198.0400390625,-0.02076473760466413,2.777777789604095e-06,0.0,50.0,0.411927192495236
2010-02-01,10205.01953125,0.0006843954486122072,3.3730159084948255e-06,0.0,50.0,0.330529363710023
2010-02-02,10371.08984375,0.016273394871166635,3.571428713344389e-06,0.0,50.0,0.14382089500009193
2010-02-03,10404.330078125,0.0032050859529513254,3.571428713344389e-06,0.0,50.0,0.09899708175101707
2010-02-04,10355.98046875,-0.004647066078445006,3.3730159084948255e-06,0.0,50.0,0.11888857701566607
2010-02-05,10057.08984375,-0.028861644332173753,3.3730159084948255e-06,0.0,50.0,0.42767387564881987
2010-02-08,9951.8203125,-0.01046719606620794,3.571428713344389e-06,0.0,50.0,0.5136776896648093
2010-02-09,9932.900390625,-0.00190115187783646,3.96825402738556e-06,0.0,50.0,0.5579740243650734
2010-02-10,9963.990234375,0.0031299864618941076,3.96825402738556e-06,0.0,50.0,0.5307862136905699
2010-02-12,10092.1904296875,0.01286635095949995,3.571428713344389e-06,0.0,50.0,0.2958816799548443
2010-02-15,10013.2998046875,-0.00781699726631524,3.571428713344389e-06,0.0,50.0,0.4561241362250595
2010-02-16,10034.25,0.0020922368970408556,3.3730159084948255e-06,0.0,50.0,0.40455306422179255
2010-02-17,10306.830078125,0.02716496779779254,3.571428713344389e-06,0.0,50.0,0.12339030490082917
2010-02-18,10335.6904296875,0.0028001190806232756,3.3730159084948255e-06,0.0,50.0,0.1112804900769589
2010-02-19,10123.580078125,-0.020522126993398504,3.7698412225359962e-06,0.0,50.0,0.25027856558432643
2010-02-22,10400.4697265625,0.02735096144849014,3.3730159084948255e-06,0.0,50.0,0.12764191981848252
2010-02-23,10352.099609375,-0.004650762750067372,4.563492146276289e-06,0.0,50.0,0.07225230869981968
2010-02-24,10198.830078125,-0.014805646876812961,4.365079341426725e-06,0.0,50.0,0.17658618301901682
2010-02-25,10101.9599609375,-0.00949815973454371,4.563492146276289e-06,0.0,50.0,0.36859714254384335
2010-02-26,10126.0302734375,0.0023827368741389243,4.563492146276289e-06,0.0,50.0,0.2517629028389822
2010-03-01,10172.0595703125,0.004545640851552957,4.761904655467893e-06,0.0,50.0,0.1577922721990934
2010-03-02,10221.83984375,0.004893824411212222,4.96031746031746e-06,0.0,50.0,0.11582901342531199
2010-03-03,10253.1396484375,0.0030620519560025095,5.357143070016588e-06,0.0,50.0,0.1487896694971147
2010-03-04,10145.7197265625,-0.010476783264272593,5.357143070016588e-06,0.0,50.0,0.15957271154318692
2010-03-05,10368.9599609375,0.02200339063088208,5.753968088399794e-06,0.0,50.0,0.03925110907593366
2010-03-08,10585.919921875,0.020923984831153986,5.753968088399794e-06,0.0,50.0,0.09467550702512804
2010-03-09,10567.650390625,-0.0017258331240771474,5.952381188907317e-06,0.0,50.0,0.06936765755432552
2010-03-10,10563.919921875,-0.0003530083426406261,5.753968088399794e-06,0.0,50.0,0.04637444862620458
2010-03-11,10664.9501953125,0.009563710647625623,5.753968088399794e-06,0.0,50.0,0.10175786662947583
2010-03-12,10751.259765625,0.008092824507557106,5.55555557920819e-06,0.0,50.0,0.12127967723655667
2010-03-15,10751.98046875,6.703429558130303e-05,5.753968088399794e-06,0.0,50.0,0.0977395733001821
2010-03-16,10721.7099609375,-0.0028153425222896544,6.150793698098924e-06,0.0,50.0,0.054121272616621176
2010-03-17,10846.98046875,0.011683817998145773,5.952381188907317e-06,0.0,50.0,0.10552819268272876
2010-03-18,10744.0302734375,-0.009491138626929185,5.753968088399794e-06,0.0,50.0,0.028722518924109514
2010-03-19,10824.7197265625,0.007510166210578317,5.753968088399794e-06,0.0,50.0,0.06055128991344996
2010-03-23,10774.150390625,-0.004671653143444421,5.158729969509063e-06,0.0,50.0,0.02906468524105549
2010-03-24,10815.0302734375,0.003794255818822645,5.357143070016588e-06,0.0,50.0,0.04304194946801211
2010-03-25,10828.849609375,0.0012777898524649611,5.158729969509063e-06,0.0,50.0,0.05936023367027214
2010-03-26,10996.3701171875,0.015469834179566933,5.158729969509063e-06,0.0,50.0,0.10559428253893914
2010-03-29,10986.4697265625,-0.0009003326115338828,4.96031746031746e-06,0.0,50.0,0.10852812820553062
2010-03-30,11097.1396484375,0.010073292388675936,5.952381188907317e-06,0.0,50.0,0.16098034386113433
2010-03-31,11089.9404296875,-0.0006487454405436077,5.952381188907317e-06,0.0,50.0,0.12934399991114823
2010-04-01,11244.400390625,0.013927934231640737,5.952381188907317e-06,0.0,50.0,0.1948214287036637
2010-04-02,11286.08984375,0.0037075745861698817,5.952381188907317e-06,0.0,50.0,0.20345444248138894
2010-04-05,11339.2998046875,0.004714649774560042,6.3492062072905275e-06,0.0,50.0,0.2125619339504388
2010-04-06,11282.3203125,-0.005024956846448769,6.547619307798051e-06,0.0,50.0,0.14291953215445366
2010-04-07,11292.830078125,0.0009315251946317993,6.3492062072905275e-06,0.0,50.0,0.14254913496697535
2010-04-08,11168.2001953125,-0.011036195705620089,6.150793698098924e-06,0.0,50.0,0.05872343019774688
2010-04-09,11204.33984375,0.0032359420323311294,5.952381188907317e-06,0.0,50.0,0.0538857522274433
2010-04-12,11251.900390625,0.004244832586145719,5.357143070016588e-06,0.0,50.0,0.07743011969030984
2010-04-13,11161.23046875,-0.008058187392997684,5.952381188907317e-06,0.0,50.0,0.04918543293950989
2010-04-14,11204.900390625,0.003912644040213076,6.150793698098924e-06,0.0,50.0,0.06018199165209741
2010-04-15,11273.7900390625,0.006148171428202787,5.952381188907317e-06,0.0,50.0,0.08750302392889002
2010-04-16,11102.1796875,-0.015222063828392085,5.952381188907317e-06,0.0,50.0,0.12971952492316116
2010-04-19,10908.76953125,-0.017420917485938547,5.952381188907317e-06,0.0,50.0,0.2168886326348765
2010-04-20,10900.6796875,-0.0007415908574129881,5.753968088399794e-06,0.0,50.0,0.272744521656096
2010-04-21,11090.0498046875,0.017372321966735216,5.753968088399794e-06,0.0,50.0,0.08606620911493881
2010-04-22,10949.08984375,-0.012710489440536099,5.952381188907317e-06,0.0,50.0,0.10200342984881049
2010-04-23,10914.4599609375,-0.003162809266038402,6.150793698098924e-06,0.0,50.0,0.11151630277459501
2010-04-26,11165.7900390625,0.023027257328763984,5.952381188907317e-06,0.0,50.0,0.01538889809825515
2010-04-27,11212.66015625,0.004197653459677264,5.753968088399794e-06,0.0,50.0,0.046177430667776735
2010-04-28,10924.7900390625,-0.02567366826212414,6.150793698098924e-06,0.0,50.0,0.10828459332745578
2010-04-30,11057.400390625,0.012138480564692022,6.150793698098924e-06,0.0,50.0,0.04497367493459056
2010-05-06,10695.6904296875,-0.03271202526447137,3.96825402738556e-06,0.0,50.0,0.32292535325684685
2010-05-07,10364.58984375,-0.030956448124048186,4.761904655467893e-06,0.0,50.0,0.5134739210488243
2010-05-10,10530.7001953125,0.01602671731990113,5.753968088399794e-06,0.0,50.0,0.3662178225544096
2010-05-11,10411.099609375,-0.011357325127415274,5.952381188907317e-06,0.0,50.0,0.4784838145177611
2010-05-12,10394.0302734375,-0.0016395324776384834,5.952381188907317e-06,0.0,50.0,0.5303043914858829
2010-05-13,10620.5498046875,0.021793233740032836,6.150793698098924e-06,0.0,50.0,0.27700347169893746
2010-05-14,10462.509765625,-0.014880589232089236,5.753968088399794e-06,0.0,50.0,0.44616480810644604
2010-05-17,10235.759765625,-0.021672620153244337,5.952381188907317e-06,0.0,50.0,0.5961475404169693
2010-05-18,10242.6396484375,0.0006721418800395007,6.547619307798051e-06,0.0,50.0,0.5674119530526063
2010-05-19,10186.83984375,-0.005447795353809237,6.547619307798051e-06,0.0,50.0,0.5607020960676976
