Date,close,ret,rf,state,lam,p_bear,raw_state,p_bear_raw,flip_p,flip_need,flip_req,flip_gap
2023-01-02,1214.6566162109375,0.01286141296188,0.0001690476281302,1.0,5.0,0.9195583596214512,1.0,0.8268282385653241,0.0804416403785489,3,3,
2023-01-03,1214.77880859375,0.0001005982935273,0.0001688492108905,1.0,5.0,0.9195583596214512,1.0,0.8163545937730708,0.0804416403785489,3,3,
2023-01-04,1256.526611328125,0.0343665879245151,0.0001746031783875,1.0,5.0,0.9195583596214512,1.0,0.755684898963261,0.0804416403785489,3,3,
2023-01-05,1250.4385986328125,-0.0048451124237453,0.0001784920692443,1.0,5.0,0.9195583596214512,1.0,0.771923499106662,0.0804416403785489,3,3,
2023-01-06,1269.3790283203125,0.0151470289770396,0.0001782936520046,1.0,5.0,0.9195583596214512,1.0,0.7328940257247049,0.0804416403785489,3,3,
2023-01-09,1321.5389404296875,0.0410908884940337,0.0001778968175252,1.0,5.0,0.9195583596214512,1.0,0.6559307713039445,0.0804416403785489,3,3,
2023-01-10,1336.5860595703125,0.0113860580874995,0.0001811507959214,1.0,5.0,0.9195583596214512,1.0,0.6368318463571483,0.0804416403785489,3,3,
2023-01-11,1387.9327392578125,0.038416291506143,0.000180753961442,1.0,5.0,0.9195583596214512,1.0,0.5590934160358628,0.0804416403785489,3,3,
2023-01-12,1417.9384765625,0.0216190139881942,0.0001775793612949,1.0,5.0,0.9195583596214512,1.0,0.5302228331382861,0.0804416403785489,3,3,
2023-01-13,1451.6148681640625,0.0237502488000775,0.0001780952347649,1.0,5.0,0.9195583596214512,1.0,0.5001289194723164,0.0804416403785489,3,3,
2023-01-16,1576.83349609375,0.0862616046968838,0.0001780952347649,1.0,5.0,0.9195583596214512,1.0,0.3936668875658802,0.0804416403785489,3,3,
2023-01-17,1567.8460693359375,-0.0056996675806778,0.0001782936520046,1.0,5.0,0.9195583596214512,1.0,0.413250472986754,0.0804416403785489,3,3,
