Date,close,ret,rf,state,lam,p_bear,raw_state
2004-01-02,0.1761226654052734,-0.005172359808781057,3.57936511910151e-05,1.0,50.0,0.4878066013770807,1.0
2004-01-05,0.18184594810009,0.03249600317850532,3.57936511910151e-05,1.0,50.0,0.4403384772660498,1.0
2004-01-06,0.1892485916614532,0.04070832283427461,3.575396916222951e-05,1.0,50.0,0.39913164520658356,1.0
2004-01-07,0.1909271031618118,0.008869347378612558,3.5158729269391014e-05,1.0,50.0,0.3966114042539983,1.0
2004-01-08,0.1916139125823974,0.003597233756820417,3.361111122464377e-05,1.0,50.0,0.40459845484855733,1.0
2004-01-09,0.194361001253128,0.014336582525286579,3.3412698715452166e-05,1.0,50.0,0.3993183694075742,1.0
2004-01-12,0.1965743601322174,0.01138787547305764,3.361111122464377e-05,1.0,50.0,0.3973614004734962,1.0
2004-01-13,0.186424508690834,-0.051633648633303664,3.420634875221858e-05,1.0,50.0,0.4466894518206242,1.0
2004-01-14,0.1850509196519851,-0.007368071121629405,3.404761827181256e-05,1.0,50.0,0.4767523139624162,1.0
2004-01-15,0.1853567957878112,0.0016529295633944674,3.3809523733835374e-05,1.0,50.0,0.47473995715173894,1.0
2004-01-16,0.188179925084114,0.015230783874439657,3.420634875221858e-05,1.0,50.0,0.4565292894906374,1.0
2004-01-20,0.1934453547000885,0.027980825338414395,3.4007936243026975e-05,1.0,50.0,0.41925531000375016,1.0
2004-01-21,0.1845171004533767,-0.04615388289139277,3.440476126141018e-05,1.0,50.0,0.5039472496938223,1.0
2004-01-22,0.1802434772253036,-0.023161122831284353,3.3809523733835374e-05,1.0,50.0,0.5607222784944715,1.0
2004-01-23,0.176199659705162,-0.02243530574527719,3.440476126141018e-05,1.0,50.0,0.6129919169947364,1.0
2004-01-26,0.1831435412168502,0.03940916528049776,3.500000115424868e-05,1.0,50.0,0.5336443014883658,1.0
2004-01-27,0.172688752412796,-0.05708521706302083,3.559523868182349e-05,1.0,50.0,0.6476270620679971,1.0
2004-01-28,0.1722308695316314,-0.002651492206452888,3.638888871858991e-05,1.0,50.0,0.660442340432324,1.0
2004-01-29,0.1671944856643676,-0.029242050980523127,3.638888871858991e-05,1.0,50.0,0.6907008725494166,1.0
2004-01-30,0.1697895973920822,0.015521515063146918,3.559523868182349e-05,1.0,50.0,0.6767558929955192,1.0
2004-02-02,0.1725367456674575,0.01617972076953289,3.57936511910151e-05,1.0,50.0,0.6545204225823799,1.0
2004-02-03,0.1719259917736053,-0.003539848230529108,3.61904762093983e-05,1.0,50.0,0.6597195300442621,1.0
2004-02-04,0.1672713607549667,-0.027073457425610625,3.61904762093983e-05,1.0,50.0,0.6964175434565542,1.0
2004-02-05,0.1697895973920822,0.015054798536638936,3.6150794180612717e-05,1.0,50.0,0.6780945443552426,1.0
2004-02-06,0.1736814081668853,0.022921373479766416,3.59920637002067e-05,1.0,50.0,0.6446811113394247,1.0
2004-02-09,0.1724598705768585,-0.007033208694698367,3.61904762093983e-05,1.0,50.0,0.6610628864215305,1.0
2004-02-10,0.1787939071655273,0.036727596788065364,3.654761919899592e-05,1.0,50.0,0.5930495119189321,1.0
2004-02-11,0.1850509196519851,0.03499566951498578,3.6111112151827125e-05,1.0,50.0,0.5209141220760292,1.0
2004-02-12,0.1794806569814682,-0.030101242841659936,3.563492071060907e-05,1.0,50.0,0.5909251265120786,1.0
2004-02-13,0.1778021603822708,-0.00935196375713454,3.559523868182349e-05,1.0,50.0,0.6087974721862491,1.0
2004-02-17,0.1797855347394943,0.011154950833889066,3.559523868182349e-05,1.0,50.0,0.5763409201831313,1.0
2004-02-18,0.1797855347394943,0.0,3.61904762093983e-05,1.0,50.0,0.5826938603253596,1.0
2004-02-19,0.1797095835208892,-0.0004224545579550876,3.61904762093983e-05,1.0,50.0,0.5999293606958443,1.0
2004-02-20,0.1842121481895446,0.0250546719904452,3.634920668980432e-05,1.0,50.0,0.5471271082161963,1.0
2004-02-23,0.1778021603822708,-0.034796770301371405,3.6785713736973116e-05,1.0,50.0,0.6213206614219848,1.0
2004-02-24,0.1707053184509277,-0.03991426153700861,3.722222314940559e-05,1.0,50.0,0.6854080138809089,1.0
2004-02-25,0.171697050333023,0.005809613262754754,3.722222314940559e-05,1.0,50.0,0.6786644883198799,1.0
2004-02-26,0.1728417128324508,0.006666756925687745,3.698412624616472e-05,1.0,50.0,0.6650091194761095,1.0
2004-02-27,0.1697895973920822,-0.017658442457853196,3.6785713736973116e-05,1.0,50.0,0.6834887793282508,1.0
2004-03-01,0.17230786383152,0.014831688620019268,3.714285672657073e-05,1.0,50.0,0.6532208392443386,1.0
2004-03-02,0.1691028624773025,-0.01860043577205106,3.7380951264547925e-05,1.0,50.0,0.682440212685967,1.0
2004-03-03,0.1668895334005355,-0.013088655297387897,3.7380951264547925e-05,1.0,50.0,0.686854936501606,1.0
2004-03-04,0.1705524176359176,0.02194795659588289,3.7341269235762334e-05,1.0,50.0,0.6537403372918736,1.0
2004-03-05,0.1693316996097564,-0.007157436072041556,3.6944444217379126e-05,1.0,50.0,0.6603353928092184,1.0
2004-03-08,0.1634555757045745,-0.03470185392767011,3.6785713736973116e-05,1.0,50.0,0.7007485512479749,1.0
2004-03-09,0.1623109579086303,-0.007002623134820252,3.698412624616472e-05,1.0,50.0,0.6991103241343496,1.0
