Date,close,ret,rf,state,lam,p_bear,raw_state
2010-01-04,12750.5498046875,-0.0034062557222859224,2.182539670713361e-06,0.0,10.0,0.42374173293782624,0.0
2010-01-05,13142.0302734375,0.030703026516243126,2.3809523277339444e-06,0.0,10.0,0.26743915074787566,0.0
2010-01-06,13246.2099609375,0.007927214085830192,1.7857143566721944e-06,0.0,10.0,0.24660846439496423,0.0
2010-01-07,13073.2001953125,-0.013061076801228255,1.7857143566721944e-06,0.0,10.0,0.3041403838937517,0.0
2010-01-08,13035.08984375,-0.0029151509189130342,1.5873015518226308e-06,0.0,10.0,0.3235948668789541,0.0
2010-01-11,13119.0302734375,0.006439574310087792,9.92063506846389e-07,0.0,10.0,0.30990830275088727,0.0
2010-01-12,12967.3701171875,-0.01156031757599274,1.5873015518226308e-06,0.0,10.0,0.3864781671860912,0.0
2010-01-13,12482.1796875,-0.03741625520847969,1.984127013692778e-06,0.0,10.0,0.6360787750919132,0.0
2010-01-14,12363.3701171875,-0.00951833520162182,1.7857143566721944e-06,0.0,10.0,0.6679447792424895,0.0
2010-01-15,12356.8798828125,-0.0005249567321435888,2.182539670713361e-06,0.0,10.0,0.6670700240484668,0.0
2010-01-18,12290.259765625,-0.005391338090140696,2.182539670713361e-06,0.0,10.0,0.6801758393525092,0.0
2010-01-19,12600.759765625,0.025263908649713507,1.984127013692778e-06,0.0,10.0,0.5496092862812308,0.0
2010-01-20,12282.08984375,-0.025289738698481834,1.984127013692778e-06,0.0,10.0,0.6941736534126917,0.0
2010-01-21,11957.830078125,-0.02640102537517308,1.5873015518226308e-06,0.0,10.0,0.744875785380384,0.0
2010-01-22,11975.650390625,0.001490263064751085,1.7857143566721944e-06,0.0,10.0,0.7520026215110474,0.0
2010-01-25,11858.4599609375,-0.009785725690459435,1.7857143566721944e-06,0.0,10.0,0.7626674296267066,0.0
2010-01-26,11410.1201171875,-0.03780759434419467,2.5793649847545313e-06,0.0,10.0,0.7541892955698614,0.0
2010-01-27,11372.6904296875,-0.003280393818433036,2.777777789604095e-06,0.0,10.0,0.7647168664096241,0.0
2010-01-28,11636.0302734375,0.023155456958766196,2.777777789604095e-06,0.0,10.0,0.8031040779420345,0.0
2010-01-29,11498.2001953125,-0.011845111682085907,2.777777789604095e-06,0.0,10.0,0.8052197174949328,0.0
2010-02-01,11621.6396484375,0.010735545653077327,3.3730159084948255e-06,0.0,10.0,0.8064225542522886,0.0
2010-02-02,11570.349609375,-0.004413322096886385,3.571428713344389e-06,0.0,10.0,0.8095918395478118,0.0
2010-02-03,11838.7197265625,0.02319464201583421,3.571428713344389e-06,0.0,10.0,0.7426461725761387,0.0
2010-02-04,11605.8798828125,-0.019667654030830595,3.3730159084948255e-06,0.0,10.0,0.8093647785723009,0.0
2010-02-05,11131.7802734375,-0.040849949694646503,3.3730159084948255e-06,0.0,10.0,0.8022364412100235,0.0
2010-02-08,10989.1904296875,-0.012809257840836641,3.571428713344389e-06,0.0,10.0,0.7944863102236983,1.0
2010-02-09,11200.330078125,0.019213394270346074,3.96825402738556e-06,1.0,10.0,0.834547428790719,1.0
