Date,close,ret,rf,state,lam,p_bear
2021-01-04,76.03988647460938,0.0072093377896975674,2.698412845059044e-06,0.0,0.0,0.18705127583123615
2021-01-05,77.88050842285156,0.024206005999980018,3.0952381591002142e-06,0.0,0.0,0.21508991161786395
2021-01-06,78.26644897460938,0.0049555474094025165,3.0952381591002142e-06,0.0,0.0,0.21718179544702887
2021-01-07,83.23419189453125,0.06347218999974658,3.1746031036452616e-06,0.0,0.0,0.30786978621925787
2021-01-08,84.9164810180664,0.02021151506663088,3.1746031036452616e-06,0.0,0.0,0.3231565324366612
2021-01-11,83.36282348632812,-0.018296301414182925,3.1746031036452616e-06,0.0,0.0,0.2621518061468783
2021-01-12,84.7680435180664,0.016856675109723662,3.1746031036452616e-06,0.0,0.0,0.27204365261351987
2021-01-13,85.10449981689453,0.003969140785423653,3.1746031036452616e-06,0.0,0.0,0.2678611741615484
2021-01-14,87.23211669921875,0.0250000515472375,2.9761905944536585e-06,0.0,0.0,0.2890188646768739
2021-01-15,84.8175277709961,-0.027680045143789078,2.9761905944536585e-06,0.0,0.0,0.2544159986295595
2021-01-19,87.8654556274414,0.035935117852934795,2.896825354250651e-06,0.0,0.0,0.2742164669724822
2021-01-20,88.65711212158203,0.00900987183742985,2.9761905944536585e-06,0.0,0.0,0.2772699943547199
2021-01-21,89.09253692626953,0.004911335303707798,2.896825354250651e-06,0.0,0.0,0.27502802790808956
2021-01-22,89.62691497802734,0.005998011395724978,2.777777789604095e-06,0.0,0.0,0.27038834687157176
2021-01-25,91.37848663330078,0.01954292029021465,2.777777789604095e-06,0.0,0.0,0.28196627670246205
2021-01-26,91.20037078857422,-0.0019492098336157948,2.698412845059044e-06,0.0,0.0,0.27599014117776843
2021-01-27,88.76597595214844,-0.02669281731397044,2.3809523277339444e-06,0.0,0.0,0.2623218060401779
2021-01-28,88.58785247802734,-0.002006663839499878,2.182539670713361e-06,0.0,0.0,0.25772628650166524
2021-01-29,86.34149169921875,-0.025357435765425818,1.90476192131875e-06,0.0,0.0,0.27808069667275814
2021-02-01,90.17119598388672,0.04435531758021072,1.90476192131875e-06,0.0,0.0,0.26240436140064805
2021-02-02,92.11078643798828,0.021510089036061553,1.984127013692778e-06,0.0,0.0,0.26763759482151195
2021-02-03,92.93214416503906,0.00891706344949883,1.5873015518226308e-06,0.0,0.0,0.2732651773629487
2021-02-04,93.60505676269533,0.007240902528421467,1.1904761638669722e-06,0.0,0.0,0.269698585679263
2021-02-05,94.50558471679688,0.009620505400520507,9.126984144723571e-07,0.0,0.0,0.26755591196818035
2021-02-08,97.00923919677734,0.026492132581192207,7.936507759113135e-07,0.0,0.0,0.27989115615510046
2021-02-09,97.9097671508789,0.009282909149250118,1.309523802428016e-06,0.0,0.0,0.28057313426446967
2021-02-10,96.59361267089844,-0.013442524870396988,1.3888888948020476e-06,0.0,0.0,0.26614819724021777
2021-02-11,97.64257049560548,0.010859494698484129,1.3888888948020476e-06,0.0,0.0,0.2677481024276819
2021-02-12,98.16705322265624,0.005371455548421444,1.3888888948020476e-06,0.0,0.0,0.2670742318856602
