Date,close,ret,rf,state,lam,p_bear,raw_state,vm_alarm
2010-01-04,10654.7900390625,0.0102735714573425,2.182539670713361e-06,0.0,,,0.0,0.0
2010-01-05,10681.830078125,0.0025378293672015,2.3809523277339444e-06,0.0,,,0.0,0.0
2010-01-06,10731.4501953125,0.0046452823930531,1.7857143566721944e-06,0.0,,,0.0,0.0
2010-01-07,10681.66015625,-0.0046396375286024,1.7857143566721944e-06,0.0,,,0.0,0.0
2010-01-08,10798.3203125,0.0109215379017408,1.5873015518226308e-06,0.0,,,0.0,0.0
2010-01-12,10879.1396484375,0.0074844358750818,1.5873015518226308e-06,0.0,,,0.0,0.0
2010-01-13,10735.0302734375,-0.0132463944444998,1.984127013692778e-06,0.0,,,0.0,0.0
2010-01-14,10907.6796875,0.0160828064444027,1.7857143566721944e-06,0.0,,,0.0,0.0
2010-01-15,10982.099609375,0.0068227087709848,2.182539670713361e-06,0.0,,,0.0,0.0
2010-01-18,10855.080078125,-0.0115660516447664,2.182539670713361e-06,0.0,,,0.0,0.0
2010-01-19,10764.900390625,-0.0083076022333293,1.984127013692778e-06,0.0,,,0.0,0.0
2010-01-20,10737.51953125,-0.0025435311411562,1.984127013692778e-06,0.0,,,0.0,0.0
2010-01-21,10868.41015625,0.0121900243924177,1.5873015518226308e-06,0.0,,,0.0,0.0
2010-01-22,10590.5498046875,-0.0255658691168103,1.7857143566721944e-06,0.0,,,0.0,0.17626376002328012
2010-01-25,10512.6904296875,-0.0073517783718404,1.7857143566721944e-06,0.0,,,0.0,0.14151667636185392
2010-01-26,10325.2802734375,-0.0178270403283977,2.5793649847545317e-06,0.0,,,0.0,0.17636099746947628
2010-01-27,10252.080078125,-0.0070894148511215,2.777777789604095e-06,0.0,,,0.0,0.15753063846222004
2010-01-28,10414.2900390625,0.0158221511831153,2.777777789604095e-06,0.0,,,0.0,0.15753063846222004
2010-01-29,10198.0400390625,-0.0207647376046641,2.777777789604095e-06,0.0,,,0.0,0.20263591229302214
2010-02-01,10205.01953125,0.0006843954486122,3.373015908494825e-06,0.0,,,0.0,0.2704029668478454
2010-02-02,10371.08984375,0.0162733948711666,3.571428713344389e-06,0.0,,,0.0,0.3244993858462011
2010-02-03,10404.330078125,0.0032050859529513,3.571428713344389e-06,0.0,,,0.0,0.3491211478216651
2010-02-04,10355.98046875,-0.004647066078445,3.373015908494825e-06,0.0,,,0.0,0.31025768611116306
2010-02-05,10057.08984375,-0.0288616443321737,3.373015908494825e-06,0.0,,,0.0,0.3980058225251302
2010-02-08,9951.8203125,-0.0104671960662079,3.571428713344389e-06,0.0,,,0.0,0.39843205911830465
2010-02-09,9932.900390625,-0.0019011518778364,3.96825402738556e-06,0.0,,,0.0,0.3608082124520747
2010-02-10,9963.990234375,0.0031299864618941,3.96825402738556e-06,0.0,,,0.0,0.39518361489466636
2010-02-12,10092.1904296875,0.0128663509594999,3.571428713344389e-06,0.0,,,0.0,0.39518361489466636
2010-02-15,10013.2998046875,-0.0078169972663152,3.571428713344389e-06,0.0,,,0.0,0.2382449133504111
2010-02-16,10034.25,0.0020922368970408,3.373015908494825e-06,0.0,,,0.0,0.2382449133504111
2010-02-17,10306.830078125,0.0271649677977925,3.571428713344389e-06,0.0,,,0.0,0.2382449133504111
2010-02-18,10335.6904296875,0.0028001190806232,3.373015908494825e-06,0.0,,,0.0,0.2382449133504111
2010-02-19,10123.580078125,-0.0205221269933985,3.769841222535996e-06,0.0,,,0.0,0.3880148802992289
2010-02-22,10400.4697265625,0.0273509614484901,3.373015908494825e-06,0.0,,,0.0,0.0
2010-02-23,10352.099609375,-0.0046507627500673,4.563492146276289e-06,0.0,,,0.0,0.0
2010-02-24,10198.830078125,-0.0148056468768129,4.365079341426725e-06,0.0,,,0.0,0.021316036436649994
2010-02-25,10101.9599609375,-0.0094981597345437,4.563492146276289e-06,0.0,,,0.0,0.013698168752128983
2010-02-26,10126.0302734375,0.0023827368741389,4.563492146276289e-06,0.0,,,0.0,0.013768999523659004
2010-03-01,10172.0595703125,0.0045456408515529,4.761904655467893e-06,0.0,,,0.0,0.031452133658868286
2010-03-02,10221.83984375,0.0048938244112122,4.96031746031746e-06,0.0,,,0.0,0.03161190359253733
2010-03-03,10253.1396484375,0.0030620519560025,5.357143070016588e-06,0.0,,,0.0,0.033422824359330056
2010-03-04,10145.7197265625,-0.0104767832642725,5.357143070016588e-06,0.0,,,0.0,0.03217468411328104
2010-03-05,10368.9599609375,0.022003390630882,5.753968088399794e-06,0.0,,,0.0,0.0
2010-03-08,10585.919921875,0.0209239848311539,5.753968088399794e-06,0.0,,,0.0,0.0
2010-03-09,10567.650390625,-0.0017258331240771,5.952381188907317e-06,0.0,,,0.0,0.0
2010-03-10,10563.919921875,-0.0003530083426406,5.753968088399794e-06,0.0,,,0.0,0.0
2010-03-11,10664.9501953125,0.0095637106476256,5.753968088399794e-06,0.0,,,0.0,0.0
2010-03-12,10751.259765625,0.0080928245075571,5.55555557920819e-06,0.0,,,0.0,0.0
2010-03-15,10751.98046875,6.703429558130303e-05,5.753968088399794e-06,0.0,,,0.0,0.0
2010-03-16,10721.7099609375,-0.0028153425222896,6.150793698098924e-06,0.0,,,0.0,0.0
2010-03-17,10846.98046875,0.0116838179981457,5.952381188907317e-06,0.0,,,0.0,0.0
2010-03-18,10744.0302734375,-0.0094911386269291,5.753968088399794e-06,0.0,,,0.0,0.0
2010-03-19,10824.7197265625,0.0075101662105783,5.753968088399794e-06,0.0,,,0.0,0.0
2010-03-23,10774.150390625,-0.0046716531434444,5.158729969509063e-06,0.0,,,0.0,0.0
2010-03-24,10815.0302734375,0.0037942558188226,5.357143070016588e-06,0.0,,,0.0,0.0
2010-03-25,10828.849609375,0.0012777898524649,5.158729969509063e-06,0.0,,,0.0,0.0
2010-03-26,10996.3701171875,0.0154698341795669,5.158729969509063e-06,0.0,,,0.0,0.0
2010-03-29,10986.4697265625,-0.0009003326115338,4.96031746031746e-06,0.0,,,0.0,0.0
2010-03-30,11097.1396484375,0.0100732923886759,5.952381188907317e-06,0.0,,,0.0,0.0
2010-03-31,11089.9404296875,-0.0006487454405436,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-01,11244.400390625,0.0139279342316407,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-02,11286.08984375,0.0037075745861698,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-05,11339.2998046875,0.00471464977456,6.349206207290528e-06,0.0,,,0.0,0.0
2010-04-06,11282.3203125,-0.0050249568464487,6.547619307798051e-06,0.0,,,0.0,0.0
2010-04-07,11292.830078125,0.0009315251946317,6.349206207290528e-06,0.0,,,0.0,0.0
2010-04-08,11168.2001953125,-0.01103619570562,6.150793698098924e-06,0.0,,,0.0,0.0
2010-04-09,11204.33984375,0.0032359420323311,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-12,11251.900390625,0.0042448325861457,5.357143070016588e-06,0.0,,,0.0,0.0
2010-04-13,11161.23046875,-0.0080581873929976,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-14,11204.900390625,0.003912644040213,6.150793698098924e-06,0.0,,,0.0,0.0
2010-04-15,11273.7900390625,0.0061481714282027,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-16,11102.1796875,-0.015222063828392,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-19,10908.76953125,-0.0174209174859385,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-20,10900.6796875,-0.0007415908574129,5.753968088399794e-06,0.0,,,0.0,0.0
2010-04-21,11090.0498046875,0.0173723219667352,5.753968088399794e-06,0.0,,,0.0,0.0
2010-04-22,10949.08984375,-0.012710489440536,5.952381188907317e-06,0.0,,,0.0,0.0016902860419691474
2010-04-23,10914.4599609375,-0.0031628092660384,6.150793698098924e-06,0.0,,,0.0,0.0
2010-04-26,11165.7900390625,0.0230272573287639,5.952381188907317e-06,0.0,,,0.0,0.0
2010-04-27,11212.66015625,0.0041976534596772,5.753968088399794e-06,0.0,,,0.0,0.0
2010-04-28,10924.7900390625,-0.0256736682621241,6.150793698098924e-06,0.0,,,0.0,0.2875661523935981
2010-04-30,11057.400390625,0.012138480564692,6.150793698098924e-06,0.0,,,0.0,0.2875661523935981
2010-05-06,10695.6904296875,-0.0327120252644713,3.96825402738556e-06,0.0,,,0.0,0.6442276931723151
2010-05-07,10364.58984375,-0.0309564481240481,4.761904655467893e-06,1.0,,,1.0,0.8538886728314975
2010-05-10,10530.7001953125,0.0160267173199011,5.753968088399794e-06,1.0,,,1.0,0.8615884348245869
2010-05-11,10411.099609375,-0.0113573251274152,5.952381188907317e-06,1.0,,,1.0,0.7979601756967865
2010-05-12,10394.0302734375,-0.0016395324776384,5.952381188907317e-06,1.0,,,1.0,0.8432328810416531
2010-05-13,10620.5498046875,0.0217932337400328,6.150793698098924e-06,1.0,,,1.0,0.8716372869790419
2010-05-14,10462.509765625,-0.0148805892320892,5.753968088399794e-06,1.0,,,1.0,0.8175889155152497
2010-05-17,10235.759765625,-0.0216726201532443,5.952381188907317e-06,1.0,,,1.0,0.7725029688707639
2010-05-18,10242.6396484375,0.0006721418800395,6.547619307798051e-06,1.0,,,1.0,0.7661343776354681
2010-05-19,10186.83984375,-0.0054477953538092,6.547619307798051e-06,1.0,,,1.0,0.7133855102091069
2010-05-20,10030.3095703125,-0.0153659305376767,6.150793698098924e-06,1.0,,,1.0,0.43954720707391515
2010-05-21,9784.5400390625,-0.0245026865349623,5.952381188907317e-06,1.0,,,1.0,0.27553788132354085
2010-05-24,9758.400390625,-0.002671525522216,5.952381188907317e-06,0.0,,,0.0,0.24151523508675812
2010-05-25,9459.8896484375,-0.030590130578602,6.349206207290528e-06,0.0,,,0.0,0.5166633647660203
2010-05-26,9522.66015625,0.0066354376367241,6.349206207290528e-06,0.0,,,0.0,0.5387718710360407
2010-05-27,9639.7197265625,0.0122927384146613,6.349206207290528e-06,0.0,,,0.0,0.5387718710360407
2010-05-28,9762.98046875,0.0127867558065875,5.952381188907317e-06,0.0,,,0.0,0.5990463523629552
2010-05-31,9768.7001953125,0.0005858586505225,5.952381188907317e-06,0.0,,,0.0,0.5492507430855075
2010-06-01,9711.830078125,-0.0058216667571381,5.753968088399794e-06,0.0,,,0.0,0.5111545797814183
2010-06-02,9603.240234375,-0.0111811927182075,5.753968088399794e-06,0.0,,,0.0,0.5081600641880079
2010-06-03,9914.1904296875,0.0323797164002466,5.158729969509063e-06,0.0,,,0.0,0.5190743096458696
2010-06-04,9901.1904296875,-0.0013112517953127,4.761904655467893e-06,0.0,,,0.0,0.29878200808944644
2010-06-07,9520.7998046875,-0.0384186757846254,4.166666536577163e-06,0.0,,,0.0,0.8907419312069481
2010-06-08,9537.9404296875,0.0018003345676442,4.365079341426725e-06,1.0,,,1.0,0.6233122832345785
2010-06-09,9439.1298828125,-0.0103597362138523,3.769841222535996e-06,1.0,,,1.0,0.6109626999215213
2010-06-10,9542.650390625,0.0109671663699635,3.373015908494825e-06,1.0,,,1.0,0.6042185144706488
2010-06-11,9705.25,0.0170392503884186,2.777777789604095e-06,1.0,,,1.0,0.592382594969596
2010-06-14,9879.849609375,0.0179902227531489,2.182539670713361e-06,1.0,,,1.0,0.6109626999215213
2010-06-15,9887.8896484375,0.0008137815230375,3.1746031036452616e-06,1.0,,,1.0,0.6349381797356071
2010-06-16,10067.150390625,0.018129322692818,3.571428713344389e-06,1.0,,,1.0,0.6346441108123131
2010-06-17,9999.400390625,-0.006729809069217,3.571428713344389e-06,1.0,,,1.0,0.619032820526962
2010-06-18,9995.01953125,-0.0004381122071186,3.769841222535996e-06,1.0,,,1.0,0.6154768021211094
2010-06-21,10238.009765625,0.0243111315205815,4.166666536577163e-06,1.0,,,1.0,0.0
2010-06-22,10112.8896484375,-0.0122211367298751,4.96031746031746e-06,1.0,,,1.0,0.0
2010-06-23,9923.7001953125,-0.0187077541337782,4.761904655467893e-06,0.0,,,0.0,0.0
2010-06-24,9928.33984375,0.0004675321045763,4.96031746031746e-06,0.0,,,0.0,0.015469827619884245
2010-06-25,9737.48046875,-0.0192236947972875,4.96031746031746e-06,0.0,,,0.0,0.09514862556109545
2010-06-28,9693.9404296875,-0.0044713865359967,5.357143070016588e-06,0.0,,,0.0,0.0748663825155309
2010-06-29,9570.669921875,-0.0127162435860433,6.349206207290528e-06,0.0,,,0.0,0.09374573218045246
2010-06-30,9382.6396484375,-0.0196465111609096,6.746031816989654e-06,0.0,,,0.0,0.1258985983541705
2010-07-01,9191.599609375,-0.0203610120627742,6.547619307798051e-06,0.0,,,0.0,0.19763546850248864
2010-07-02,9203.7099609375,0.0013175455934948,6.349206207290528e-06,0.0,,,0.0,0.2050941598216992
2010-07-05,9266.7802734375,0.0068527053511773,6.349206207290528e-06,0.0,,,0.0,0.21672166830864592
2010-07-06,9338.0400390625,0.007689808490362,6.349206207290528e-06,0.0,,,0.0,0.28147665336211103
2010-07-07,9279.650390625,-0.0062528804966831,6.150793698098924e-06,0.0,,,0.0,0.2763038217916147
2010-07-08,9535.740234375,0.0275969280059,5.753968088399794e-06,0.0,,,0.0,0.30088885491044826
2010-07-09,9585.3203125,0.0051993947933135,5.753968088399794e-06,0.0,,,0.0,0.32904634005385347
2010-07-12,9548.1103515625,-0.0038819736560055,5.55555557920819e-06,0.0,,,0.0,0.35930901006060445
2010-07-13,9537.23046875,-0.0011394802125134,5.753968088399794e-06,0.0,,,0.0,0.3851094344014805
2010-07-14,9795.240234375,0.027052902461611,5.753968088399794e-06,0.0,,,0.0,0.4096324052664224
2010-07-15,9685.5302734375,-0.0112003338675134,5.753968088399794e-06,0.0,,,0.0,0.42809005604781625
2010-07-16,9408.3603515625,-0.0286169072885081,5.753968088399794e-06,0.0,,,0.0,0.4431735139980675
2010-07-21,9278.830078125,-0.0137675714574418,5.952381188907317e-06,0.0,,,0.0,0.46436079233477257
2010-07-22,9220.8798828125,-0.0062454204705308,5.753968088399794e-06,0.0,,,0.0,0.48314073080260256
2010-07-23,9430.9599609375,0.0227830836964468,5.753968088399794e-06,0.0,,,0.0,0.49961649190775503
2010-07-26,9503.66015625,0.0077086739434395,5.753968088399794e-06,0.0,,,0.0,0.5211900487957255
2010-07-27,9496.849609375,-0.0007166235706062,5.952381188907317e-06,0.0,,,0.0,0.5390653756348973
2010-07-28,9753.26953125,0.0270005246394415,5.753968088399794e-06,0.0,,,0.0,0.5476176224057894
2010-07-29,9696.01953125,-0.0058698265044935,5.753968088399794e-06,0.0,,,0.0,0.5580925230763678
2010-07-30,9537.2998046875,-0.0163695757883893,5.55555557920819e-06,0.0,,,0.0,0.5713027655448566
2010-08-02,9570.3095703125,0.0034611227811855,5.55555557920819e-06,0.0,,,0.0,0.5808541079754681
2010-08-03,9694.009765625,0.0129254121200241,5.952381188907317e-06,0.0,,,0.0,0.5828538726183186
2010-08-04,9489.33984375,-0.0211130302963754,5.753968088399794e-06,0.0,,,0.0,0.5871566874048373
2010-08-05,9653.919921875,0.0173436804703963,5.55555557920819e-06,0.0,,,0.0,0.5819653522993851
2010-08-06,9642.1201171875,-0.0012222811855692,5.55555557920819e-06,0.0,,,0.0,0.5773996377032953
2010-08-09,9572.490234375,-0.0072214286864547,5.55555557920819e-06,0.0,,,0.0,0.5762598943564612
2010-08-10,9551.0498046875,-0.0022397964544802,5.753968088399794e-06,0.0,,,0.0,0.5782712684535074
2010-08-11,9292.849609375,-0.0270336979277167,5.753968088399794e-06,0.0,,,0.0,0.5838198839235997
2010-08-12,9212.58984375,-0.0086367227490726,5.952381188907317e-06,0.0,,,0.0,0.5893789870309885
2010-08-13,9253.4599609375,0.0044363330920704,5.753968088399794e-06,0.0,,,0.0,0.5919744111661562
2010-08-16,9196.669921875,-0.0061371680757503,5.952381188907317e-06,0.0,,,0.0,0.6018798843952067
2010-08-17,9161.6796875,-0.0038046635001842,6.150793698098924e-06,1.0,,,1.0,0.6121377787354954
2010-08-18,9240.5400390625,0.0086076302875002,5.952381188907317e-06,1.0,,,1.0,0.6129896271194379
2010-08-19,9362.6796875,0.0132178041457728,5.753968088399794e-06,1.0,,,1.0,0.6120681460259458
