Date,close,ret,rf,state,lam,p_bear,raw_state
2003-01-02,0.9785000085830688,0.035997859660063414,4.7222224492875355e-05,1.0,80.0,0.7537926409952015,1.0
2003-01-03,1.0260000228881836,0.04854370351401216,4.730158855044653e-05,1.0,80.0,0.7249056641373259,1.0
2003-01-06,1.034999966621399,0.008771874787956158,4.690476353206332e-05,1.0,80.0,0.7149908867108822,1.0
2003-01-07,1.0774999856948853,0.04106282168512654,4.6507938513680115e-05,1.0,80.0,0.6525574520146163,1.0
2003-01-08,1.0509999990463257,-0.024593955452787863,4.630952600448851e-05,1.0,80.0,0.7014406841722796,1.0
2003-01-09,1.0724999904632568,0.02045669974922948,4.6706351022871716e-05,1.0,80.0,0.6688251020119346,1.0
2003-01-10,1.065999984741211,-0.006060611449738351,4.6507938513680115e-05,1.0,80.0,0.6745957835905105,1.0
2003-01-13,1.1019999980926514,0.03377111995004389,4.6507938513680115e-05,1.0,80.0,0.6162800279055177,1.0
2003-01-14,1.1369999647140503,0.031760405337547315,4.6507938513680115e-05,1.0,80.0,0.5605971709449071,1.0
2003-01-15,1.1134999990463257,-0.02066839612755378,4.630952600448851e-05,1.0,80.0,0.6037960469357739,1.0
2003-01-16,1.090000033378601,-0.021104594241447283,4.623015721638997e-05,1.0,80.0,0.6365215020265722,1.0
2003-01-17,1.0700000524520874,-0.018348605792718242,4.571428374638633e-05,1.0,80.0,0.6653295029981403,1.0
2003-01-21,1.0540000200271606,-0.014953300598686825,4.571428374638633e-05,1.0,80.0,0.6701677549711844,1.0
2003-01-22,1.058500051498413,0.0042694794931184,4.531745872800312e-05,1.0,80.0,0.6666809563901195,1.0
2003-01-23,1.0894999504089355,0.029286629572326417,4.531745872800312e-05,1.0,80.0,0.6258374281355414,1.0
2003-01-24,1.1054999828338623,0.014685666042409062,4.472222120042832e-05,1.0,80.0,0.6118186007087573,1.0
2003-01-27,1.0889999866485596,-0.01492536991543525,4.531745872800312e-05,1.0,80.0,0.6397821042358659,1.0
2003-01-28,1.0809999704360962,-0.007346204141915336,4.5634919688815166e-05,1.0,80.0,0.6457335108174095,1.0
2003-01-29,1.1039999723434448,0.021276598090997245,4.571428374638633e-05,1.0,80.0,0.6180444534763332,1.0
2003-01-30,1.090999960899353,-0.011775372979853316,4.571428374638633e-05,1.0,80.0,0.63994024628847,1.0
2003-01-31,1.0924999713897705,0.0013748950909044932,4.555555563124399e-05,1.0,80.0,0.6381292882065145,1.0
2003-02-03,1.1080000400543213,0.014187706242987819,4.571428374638633e-05,1.0,80.0,0.622108396068692,1.0
2003-02-04,1.1024999618530271,-0.004963969316304828,4.551587123719473e-05,1.0,80.0,0.6212939121366925,1.0
2003-02-05,1.1085000038146973,0.005442215119523031,4.551587123719473e-05,1.0,80.0,0.6185371908027031,1.0
2003-02-06,1.1045000553131104,-0.00360843345766515,4.531745872800312e-05,1.0,80.0,0.6244424188767768,1.0
2003-02-07,1.0720000267028809,-0.029425103651095963,4.511904621881152e-05,1.0,80.0,0.660952312210849,1.0
2003-02-10,1.0700000524520874,-0.0018656475755366442,4.5634919688815166e-05,1.0,80.0,0.6500978375571538,1.0
2003-02-11,1.0390000343322754,-0.028971978131001164,4.571428374638633e-05,1.0,80.0,0.6760473273392534,1.0
2003-02-12,1.05649995803833,0.016843044396337437,4.5634919688815166e-05,1.0,80.0,0.6615928517768842,1.0
2003-02-13,1.003000020980835,-0.05063884446983968,4.551587123719473e-05,1.0,80.0,0.6953939588170808,1.0
2003-02-14,1.003000020980835,0.0,4.567460408286443e-05,1.0,80.0,0.6905965054187831,1.0
2003-02-18,1.069499969482422,0.06630104397860004,4.583333219800677e-05,1.0,80.0,0.6648021042049164,1.0
